Covariate,Roraima,"Formal hiring, MA6","Construction hiring, MA6"
Unemployment rate,    0.093,    0.088,    0.091
Formalization rate,    0.459,    0.583,    0.500
"Labor income (real, R$)","2,679.000","3,006.429","2,641.243"
Transfer dependency ratio,    0.000,    0.000,    0.000
"Health expenditure pc (real, R$)",  185.049,  147.030,  153.526
"Education expenditure pc (real, R$)",  165.177,  153.667,  169.572
"Public security expenditure pc (real, R$)",  100.635,  108.857,   86.620
