dropped_donor,period_date,event_time,loo_gap
AM,2003-05-01,-18,-0.11795235832185069
AM,2003-06-01,-17,-0.11249538937774206
AM,2003-07-01,-16,-0.14159359219518164
AM,2003-08-01,-15,-0.15732971017774977
AM,2003-09-01,-14,-0.17360213651586998
AM,2003-10-01,-13,-0.18148226723237748
AM,2003-11-01,-12,-0.2208950554768383
AM,2003-12-01,-11,-0.24241612999539086
AM,2004-01-01,-10,-0.2550467231708544
AM,2004-02-01,-9,-0.2694612941202239
AM,2004-03-01,-8,-0.28707408708384996
AM,2004-04-01,-7,-0.30444909937846987
AM,2004-05-01,-6,-0.31033415186034974
AM,2004-06-01,-5,-0.3191376794625751
AM,2004-07-01,-4,-0.30632084162263107
AM,2004-08-01,-3,-0.28761383780170036
AM,2004-09-01,-2,-0.2860722178835382
AM,2004-10-01,-1,-0.2979842200131464
AM,2004-11-01,0,-0.2995879952222742
AM,2004-12-01,1,-0.3197411272603059
AM,2005-01-01,2,-0.3441652983543455
AM,2005-02-01,3,-0.388347405761007
AM,2005-03-01,4,-0.4094979085175008
AM,2005-04-01,5,-0.4164721946713401
AM,2005-05-01,6,-0.438418684393588
AM,2005-06-01,7,-0.45822230024447785
AM,2005-07-01,8,-0.48193824400351115
AM,2005-08-01,9,-0.4887026061464024
AM,2005-09-01,10,-0.4920053390940229
AM,2005-10-01,11,-0.4853747429834505
AM,2005-11-01,12,-0.47590072240556847
AM,2005-12-01,13,-0.44608324338639704
AM,2006-01-01,14,-0.4258808111005492
AM,2006-02-01,15,-0.40087125764426146
AM,2006-03-01,16,-0.39404216702544126
AM,2006-04-01,17,-0.36990537918023403
AM,2006-05-01,18,-0.3636509596209154
AM,2006-06-01,19,-0.36442010958673343
AM,2006-07-01,20,-0.3530451521390692
AM,2006-08-01,21,-0.3527003899976622
AM,2006-09-01,22,-0.32984251520711805
AM,2006-10-01,23,-0.3430443057237671
AP,2002-04-01,-31,-0.02131205791177848
AP,2002-05-01,-30,-0.037282717850096514
AP,2002-06-01,-29,-0.05968197122821994
AP,2002-07-01,-28,-0.04694183397044638
AP,2002-08-01,-27,-0.052682258619674904
AP,2002-09-01,-26,-0.0590153614253115
AP,2002-10-01,-25,-0.05299944241889465
AP,2002-11-01,-24,-0.04478622075907035
AP,2002-12-01,-23,-0.04398295971364563
AP,2003-01-01,-22,-0.05680299651098775
AP,2003-02-01,-21,-0.06388201604023669
AP,2003-03-01,-20,-0.06134867573233649
AP,2003-04-01,-19,-0.07247560443764245
AP,2003-05-01,-18,-0.06130717718536216
AP,2003-06-01,-17,-0.05432911247682304
AP,2003-07-01,-16,-0.08260020362701725
AP,2003-08-01,-15,-0.09171918435751536
AP,2003-09-01,-14,-0.10587495532723201
AP,2003-10-01,-13,-0.11014122994705522
AP,2003-11-01,-12,-0.15054130139919453
AP,2003-12-01,-11,-0.16777938068901932
AP,2004-01-01,-10,-0.18526829637070596
AP,2004-02-01,-9,-0.20096304718203628
AP,2004-03-01,-8,-0.223409023260301
AP,2004-04-01,-7,-0.245992137010961
AP,2004-05-01,-6,-0.2553895351987996
AP,2004-06-01,-5,-0.2694611608140529
AP,2004-07-01,-4,-0.25533919775486247
AP,2004-08-01,-3,-0.23829048269933217
AP,2004-09-01,-2,-0.23317748085342638
AP,2004-10-01,-1,-0.24387375773376352
AP,2004-11-01,0,-0.24427135352499718
AP,2004-12-01,1,-0.2657509630361141
AP,2005-01-01,2,-0.29477472565524065
AP,2005-02-01,3,-0.34576232008034236
AP,2005-03-01,4,-0.3755495543511089
AP,2005-04-01,5,-0.3916570348203692
AP,2005-05-01,6,-0.42367431416422807
AP,2005-06-01,7,-0.4523290222146863
AP,2005-07-01,8,-0.4821566419453962
AP,2005-08-01,9,-0.4905319527785341
AP,2005-09-01,10,-0.49729482577760065
AP,2005-10-01,11,-0.4931368599539585
AP,2005-11-01,12,-0.48370314196589437
AP,2005-12-01,13,-0.4586727248094262
AP,2006-01-01,14,-0.4305667933793371
AP,2006-02-01,15,-0.4012245157702585
AP,2006-03-01,16,-0.389661321356348
AP,2006-04-01,17,-0.35986286559590575
AP,2006-05-01,18,-0.34675256797918097
AP,2006-06-01,19,-0.33708492398932854
AP,2006-07-01,20,-0.32743492442086053
AP,2006-08-01,21,-0.32612964091227425
AP,2006-09-01,22,-0.3014715733621851
AP,2006-10-01,23,-0.3139402417181181
