donor_state,coefficient
PE,1.1309396871569797
MA,-1.0604542814534355
RN,1.0056729048645296
SC,0.933635222136935
GO,0.6597553771174918
RJ,0.5552981434638616
MS,-0.49813853267374836
SE,-0.4455467514132831
CE,-0.40437024027276275
PA,-0.38692330460088015
PB,-0.3627096812376691
ES,-0.28122361411734437
PI,0.267603304663014
DF,-0.24779469497582615
RO,0.24455685506382213
RS,-0.23816577464972585
MT,-0.21283064047447958
AC,0.11877110155513709
AP,-0.1089911407227398
AL,0.0758996716455157
SP,-0.0649497103891236
PR,0.062149556815755375
MG,-0.03218505679801553
BA,-0.026751761721673522
