donor_state,coefficient
SC,1.2934840313799636
PE,1.0065553363275757
RN,0.913563317461849
RJ,0.7328214773426711
MS,-0.6956587590859156
ES,-0.6422631335434015
RS,-0.6401355011000279
CE,-0.6035317753969153
GO,0.5384159040242796
MA,-0.4245326440965487
AL,-0.3725900520126303
PR,0.35859378188308155
PB,-0.3160096065169793
DF,-0.306712843959554
SE,-0.28680102752914544
AP,-0.19824528609840697
PA,-0.19094903275882208
AC,-0.1063789795402928
RO,-0.10478098054494907
MT,-0.0817513427127796
PI,0.07257715228187692
SP,-0.04158662265746845
BA,-0.015432173238617333
MG,-0.009790705937200226
