pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.5362490592240953,1.4800575686095112,2.760018956025812
AL,1.9936899616686445,4.908440204844325,2.4619877208671617
AP,0.5866934621281605,1.412310234723592,2.4072370426638217
BA,0.4619161956832422,1.895510996491,4.103582022464615
CE,0.19908612885894078,0.888783840174178,4.464318258977808
DF,1.018242822796413,2.5026699856482955,2.4578321885689127
ES,0.9532222866448268,1.183203270803815,1.2412668979535513
GO,0.45557434324471185,0.8221882475534019,1.8047290409235432
MA,0.3272257007067771,0.8473693543997398,2.589556237696186
MG,0.687584024328603,2.667208733354816,3.87910224638979
MS,0.5659666565617036,0.7061071275327896,1.2476125922725756
MT,1.1013830085218939,2.4341136550534257,2.210051940350993
PA,0.7528370982334982,1.8915737325073916,2.512593676568135
PB,0.5836399488545517,1.4773291156446167,2.5312337144570276
PE,0.5301275280842493,0.6923050967128012,1.3059218019004253
PI,0.3064430586832127,1.0823713635321754,3.53204725270375
PR,0.7271696865919739,1.3208256447759603,1.8163926097721066
RN,0.4841889992044302,1.2625361235292056,2.6075274853490593
RO,0.5395194555406749,1.0763957103180961,1.9951008240090158
RS,0.7536685604978067,0.8195663329755483,1.0874360109093781
SE,0.32615325943597984,0.6557104035633219,2.01043645768633
SP,0.5639133244559031,0.9513683629500632,1.687082609491449
