state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
AC,2015-12-01,2015,12,78.8560644774014,104.808271539959,-45.7439680888023,-20.1543213261072,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-36,98639314,-973,803513,,,122.76007233237048,,,
AC,2016-01-01,2016,1,78.5955880248827,110.215226488542,-29.7128669400806,-17.1504514687067,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-35,89374049,-286,816687,,,109.43488631507542,,,
AC,2016-02-01,2016,2,79.1654568525961,100.200488583579,-56.6565184534136,-6.5867840386325,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-34,70710581,-531,816687,,,86.5822291771511,,,
AC,2016-03-01,2016,3,77.3111147946097,110.390946324917,-38.1940773104628,-5.39758030498185,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-33,85198242,-638,816687,,,104.32178055974933,,,
AC,2016-04-01,2016,4,78.7847950139401,110.981647243784,-69.4058788615783,-10.6503649489009,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-32,83881936,-463,816687,,,102.71001742405598,,,
AC,2016-05-01,2016,5,75.4844198999894,107.591778336578,-26.972092960048,-12.7274633121047,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-31,76460861,147,816687,78.0329065105699,4.357130616064585,93.62321305469537,619.4321988630977,6.428803250145196,-3.359916344939983
AC,2016-06-01,2016,6,76.5797919112616,120.218562750735,-17.5907774302446,2.42064131301313,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-30,77566447,191,816687,77.6535277495466,4.352256979979933,94.97695812471608,591.6490846554433,6.382913696724568,-1.9346457088211273
AC,2016-07-01,2016,7,75.7734674355558,108.23985783141,43.0936902001964,-7.11509803549287,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-29,83652274,765,816687,77.18317431799211,4.346181484027534,102.42880565014504,584.6430039905129,6.371001411364921,-0.6477389746622635
AC,2016-08-01,2016,8,72.1887021534165,108.128320770594,-24.203730027374,-27.4705525952944,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-28,79827362,-29,816687,76.02038186812885,4.331001486807219,97.745356544184,595.8061313575458,6.389915331192236,-0.03306040135327243
AC,2016-09-01,2016,9,70.9534676335799,106.270999064895,-30.6925498414668,-1.53913671217224,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-27,82701186,-65,816687,74.96077400795721,4.316964963489948,101.26423709450499,592.7485878923014,6.384770342643734,0.6685547829217313
AC,2016-10-01,2016,10,72.6422848308566,109.826759137177,-27.1181303025666,-5.19647638483192,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,-26,79854364,-336,816687,73.93702231077663,4.3032136810012735,97.7784193944559,587.8169898627013,6.3764156577227675,0.8240611152130498
