donor_state,scm_weight
AC,0.9030398467391028
RO,0.09696015326088973
BA,3.431834562761913e-15
MG,1.7963339298317216e-15
PB,1.3152476444946059e-15
PE,4.55734013140779e-16
SE,3.6409024624164874e-16
PR,1.224924609359286e-16
AP,1.40329888206703e-17
AL,0
CE,0
DF,0
ES,0
GO,0
MA,0
MS,0
MT,0
PA,0
PI,0
RJ,0
RN,0
RS,0
SC,0
SP,0
