dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2016-04-01,-32,-32,pre,-0.9227461403162351
AC,2016-05-01,-31,-31,pre,-1.1427297571832469
AC,2016-06-01,-30,-30,pre,-0.707601743029187
AC,2016-07-01,-29,-29,pre,0.6090605837403729
AC,2016-08-01,-28,-28,pre,2.4771334908514717
AC,2016-09-01,-27,-27,pre,4.597107718286068
AC,2016-10-01,-26,-26,pre,5.746894781938693
AC,2016-11-01,-25,-25,pre,5.994461264361632
AC,2016-12-01,-24,-24,pre,6.39740164649082
AC,2017-01-01,-23,-23,pre,3.1885677720169525
AC,2017-02-01,-22,-22,pre,0.48170708965346876
AC,2017-03-01,-21,-21,pre,-2.8831127175203335
AC,2017-04-01,-20,-20,pre,-5.394215156899307
AC,2017-05-01,-19,-19,pre,-6.26094432689986
AC,2017-06-01,-18,-18,pre,-7.277534763098359
AC,2017-07-01,-17,-17,pre,-4.4875122016849645
AC,2017-08-01,-16,-16,pre,-2.2438311348632425
AC,2017-09-01,-15,-15,pre,0.4242418250437794
AC,2017-10-01,-14,-14,pre,1.8831301006133714
AC,2017-11-01,-13,-13,pre,1.9119441606745085
AC,2017-12-01,-12,-12,pre,0.7398047166620927
AC,2018-01-01,-11,-11,pre,-0.3755145305345593
AC,2018-02-01,-10,-10,pre,-0.666165974738945
AC,2018-03-01,-9,-9,pre,-2.267951105834314
AC,2018-04-01,-8,-8,pre,-2.929966949454524
AC,2018-05-01,-7,-7,pre,-1.5248966397248296
AC,2018-06-01,-6,-6,pre,-0.12107677578882203
AC,2018-07-01,-5,-5,pre,1.0283753990947844
AC,2018-08-01,-4,-4,pre,0.25055001267867283
AC,2018-09-01,-3,-3,pre,1.584272592620934
AC,2018-10-01,-2,-2,pre,3.170932866097985
AC,2018-11-01,-1,-1,pre,2.447528186151274
AC,2019-06-01,6,1,post,4.941907231922102
AC,2019-07-01,7,2,post,6.386522419520901
AC,2019-08-01,8,3,post,7.681542136801852
AC,2019-09-01,9,4,post,9.143228615838197
AC,2019-10-01,10,5,post,9.68357713689602
AC,2019-11-01,11,6,post,9.859323146747712
AC,2019-12-01,12,7,post,8.14071613620277
AL,2016-04-01,-32,-32,pre,-1.4372559485579046
AL,2016-05-01,-31,-31,pre,-1.8628993518426142
AL,2016-06-01,-30,-30,pre,-0.8323657543614473
AL,2016-07-01,-29,-29,pre,0.4349200931259247
AL,2016-08-01,-28,-28,pre,2.451247294823048
AL,2016-09-01,-27,-27,pre,4.875452160696682
AL,2016-10-01,-26,-26,pre,6.342971498770652
AL,2016-11-01,-25,-25,pre,6.815613322228032
AL,2016-12-01,-24,-24,pre,6.818171020104074
AL,2017-01-01,-23,-23,pre,3.7396393836839366
AL,2017-02-01,-22,-22,pre,1.0749090766411626
AL,2017-03-01,-21,-21,pre,-2.078494770590325
AL,2017-04-01,-20,-20,pre,-4.599130528524185
AL,2017-05-01,-19,-19,pre,-5.651512358934227
AL,2017-06-01,-18,-18,pre,-6.058077429910654
AL,2017-07-01,-17,-17,pre,-3.536773506999978
AL,2017-08-01,-16,-16,pre,-1.8099026708524377
AL,2017-09-01,-15,-15,pre,-0.24379375818413962
AL,2017-10-01,-14,-14,pre,0.8880858506768163
AL,2017-11-01,-13,-13,pre,1.2392920024436336
AL,2017-12-01,-12,-12,pre,-0.6614141977385515
AL,2018-01-01,-11,-11,pre,-1.4441320704824392
AL,2018-02-01,-10,-10,pre,-1.692530944170386
AL,2018-03-01,-9,-9,pre,-2.9781993360296326
AL,2018-04-01,-8,-8,pre,-3.7261185856169448
AL,2018-05-01,-7,-7,pre,-3.062126542908061
AL,2018-06-01,-6,-6,pre,-1.7306220842538238
AL,2018-07-01,-5,-5,pre,-1.2222679321656358
AL,2018-08-01,-4,-4,pre,-2.3159197071413757
AL,2018-09-01,-3,-3,pre,-1.8391379085206268
AL,2018-10-01,-2,-2,pre,-0.6904894125454177
AL,2018-11-01,-1,-1,pre,-1.8945584904418524
AL,2019-06-01,6,1,post,0.40990185117489375
AL,2019-07-01,7,2,post,1.3093202523333218
AL,2019-08-01,8,3,post,2.2450077954452894
AL,2019-09-01,9,4,post,3.691309195860242
AL,2019-10-01,10,5,post,3.986202805671539
AL,2019-11-01,11,6,post,3.882557922959734
AL,2019-12-01,12,7,post,1.1034950596162219
AP,2016-04-01,-32,-32,pre,-1.4512798399727984
AP,2016-05-01,-31,-31,pre,-1.8838003895279343
AP,2016-06-01,-30,-30,pre,-0.8549809459540256
AP,2016-07-01,-29,-29,pre,0.4122356728274639
AP,2016-08-01,-28,-28,pre,2.4210374437180917
AP,2016-09-01,-27,-27,pre,4.838636236113729
AP,2016-10-01,-26,-26,pre,6.303255836323075
AP,2016-11-01,-25,-25,pre,6.76014787730324
AP,2016-12-01,-24,-24,pre,6.754058800087307
AP,2017-01-01,-23,-23,pre,3.6598155823016896
AP,2017-02-01,-22,-22,pre,0.9894634240847751
AP,2017-03-01,-21,-21,pre,-2.1730327421110616
AP,2017-04-01,-20,-20,pre,-4.7028747581417605
AP,2017-05-01,-19,-19,pre,-5.750932165216696
AP,2017-06-01,-18,-18,pre,-6.150846275524216
AP,2017-07-01,-17,-17,pre,-3.6181748014699338
AP,2017-08-01,-16,-16,pre,-1.886906521678796
AP,2017-09-01,-15,-15,pre,-0.32093789999194655
AP,2017-10-01,-14,-14,pre,0.817185029197276
AP,2017-11-01,-13,-13,pre,1.1711402349848612
AP,2017-12-01,-12,-12,pre,-0.7449131136574465
AP,2018-01-01,-11,-11,pre,-1.54307791374859
AP,2018-02-01,-10,-10,pre,-1.8036243525533706
AP,2018-03-01,-9,-9,pre,-3.0950546231759972
AP,2018-04-01,-8,-8,pre,-3.850900999737334
AP,2018-05-01,-7,-7,pre,-3.194919520573265
AP,2018-06-01,-6,-6,pre,-1.8648230637581662
AP,2018-07-01,-5,-5,pre,-1.3469483324121967
AP,2018-08-01,-4,-4,pre,-2.444897458073342
AP,2018-09-01,-3,-3,pre,-1.9660082333919036
AP,2018-10-01,-2,-2,pre,-0.8191412341434017
AP,2018-11-01,-1,-1,pre,-2.0199299110727935
AP,2019-06-01,6,1,post,0.3090984500872338
AP,2019-07-01,7,2,post,1.2137613181937468
AP,2019-08-01,8,3,post,2.146521588372252
AP,2019-09-01,9,4,post,3.5928520183796735
AP,2019-10-01,10,5,post,3.8813037511488346
AP,2019-11-01,11,6,post,3.751857142405342
AP,2019-12-01,12,7,post,0.9419771607383183
BA,2016-04-01,-32,-32,pre,-1.411466483854312
BA,2016-05-01,-31,-31,pre,-1.8356644865044132
BA,2016-06-01,-30,-30,pre,-0.8192966581036529
BA,2016-07-01,-29,-29,pre,0.4487411444063838
BA,2016-08-01,-28,-28,pre,2.454573896546549
BA,2016-09-01,-27,-27,pre,4.870454715353048
BA,2016-10-01,-26,-26,pre,6.328915573957559
BA,2016-11-01,-25,-25,pre,6.773811057607645
BA,2016-12-01,-24,-24,pre,6.7783498139970675
BA,2017-01-01,-23,-23,pre,3.687983773832954
BA,2017-02-01,-22,-22,pre,1.0222447193919635
BA,2017-03-01,-21,-21,pre,-2.1369304740485546
BA,2017-04-01,-20,-20,pre,-4.6582260162178954
BA,2017-05-01,-19,-19,pre,-5.6902665561826495
BA,2017-06-01,-18,-18,pre,-6.09594725140812
BA,2017-07-01,-17,-17,pre,-3.556034338895884
BA,2017-08-01,-16,-16,pre,-1.8116453607060663
BA,2017-09-01,-15,-15,pre,-0.2313861284792722
BA,2017-10-01,-14,-14,pre,0.9155432650888429
BA,2017-11-01,-13,-13,pre,1.272746766669087
BA,2017-12-01,-12,-12,pre,-0.6211565873672527
BA,2018-01-01,-11,-11,pre,-1.422460721010978
BA,2018-02-01,-10,-10,pre,-1.682780564269919
BA,2018-03-01,-9,-9,pre,-2.976454404714133
BA,2018-04-01,-8,-8,pre,-3.734746235476237
BA,2018-05-01,-7,-7,pre,-3.072545697989284
BA,2018-06-01,-6,-6,pre,-1.7552677493141857
BA,2018-07-01,-5,-5,pre,-1.2335163594411256
BA,2018-08-01,-4,-4,pre,-2.3297470501073434
BA,2018-09-01,-3,-3,pre,-1.8387249263166439
BA,2018-10-01,-2,-2,pre,-0.6763535124196807
BA,2018-11-01,-1,-1,pre,-1.8650975727066594
BA,2019-06-01,6,1,post,0.4724191683593517
BA,2019-07-01,7,2,post,1.3846388037582642
BA,2019-08-01,8,3,post,2.3253036608893467
BA,2019-09-01,9,4,post,3.7744040756701196
BA,2019-10-01,10,5,post,4.068924983391298
BA,2019-11-01,11,6,post,3.942572550049121
BA,2019-12-01,12,7,post,1.1493469428565248
CE,2016-04-01,-32,-32,pre,-1.4617696016194515
CE,2016-05-01,-31,-31,pre,-1.8893978483953475
CE,2016-06-01,-30,-30,pre,-0.8449513668461748
CE,2016-07-01,-29,-29,pre,0.4236159457406927
CE,2016-08-01,-28,-28,pre,2.4473775890285907
CE,2016-09-01,-27,-27,pre,4.875463442364492
CE,2016-10-01,-26,-26,pre,6.351058838983249
CE,2016-11-01,-25,-25,pre,6.843262834321834
CE,2016-12-01,-24,-24,pre,6.840143277591139
CE,2017-01-01,-23,-23,pre,3.764970277312912
CE,2017-02-01,-22,-22,pre,1.097611763866638
CE,2017-03-01,-21,-21,pre,-2.0474669075039458
CE,2017-04-01,-20,-20,pre,-4.568447510557817
CE,2017-05-01,-19,-19,pre,-5.63416374101179
CE,2017-06-01,-18,-18,pre,-6.03599436130105
CE,2017-07-01,-17,-17,pre,-3.5219648847625535
CE,2017-08-01,-16,-16,pre,-1.8037342143521613
CE,2017-09-01,-15,-15,pre,-0.25200199457687233
CE,2017-10-01,-14,-14,pre,0.8700883123338485
CE,2017-11-01,-13,-13,pre,1.2150788218945365
CE,2017-12-01,-12,-12,pre,-0.6962333439218469
CE,2018-01-01,-11,-11,pre,-1.4677490737546748
CE,2018-02-01,-10,-10,pre,-1.710602579857735
CE,2018-03-01,-9,-9,pre,-2.9873340926186103
CE,2018-04-01,-8,-8,pre,-3.729658495183486
CE,2018-05-01,-7,-7,pre,-3.065548739799226
CE,2018-06-01,-6,-6,pre,-1.7228080370634729
CE,2018-07-01,-5,-5,pre,-1.2253810995177474
CE,2018-08-01,-4,-4,pre,-2.319557394178645
CE,2018-09-01,-3,-3,pre,-1.8592654605965464
CE,2018-10-01,-2,-2,pre,-0.7256874391667054
CE,2018-11-01,-1,-1,pre,-1.9462289116528382
CE,2019-06-01,6,1,post,0.3467621953890472
CE,2019-07-01,7,2,post,1.2414151391011359
CE,2019-08-01,8,3,post,2.172630952145383
CE,2019-09-01,9,4,post,3.6154840177500205
CE,2019-10-01,10,5,post,3.9075735002706153
CE,2019-11-01,11,6,post,3.812594610818053
CE,2019-12-01,12,7,post,1.0383290669891636
DF,2016-04-01,-32,-32,pre,-2.444757512960635
DF,2016-05-01,-31,-31,pre,-2.938057562350494
DF,2016-06-01,-30,-30,pre,-1.2754575780786155
DF,2016-07-01,-29,-29,pre,0.0982977791630475
DF,2016-08-01,-28,-28,pre,2.416657753819564
DF,2016-09-01,-27,-27,pre,4.94473747504729
DF,2016-10-01,-26,-26,pre,6.769033854537668
DF,2016-11-01,-25,-25,pre,8.012712906144316
DF,2016-12-01,-24,-24,pre,7.714816663540759
DF,2017-01-01,-23,-23,pre,4.66724978237805
DF,2017-02-01,-22,-22,pre,1.8260414655400439
DF,2017-03-01,-21,-21,pre,-0.8441513334532686
DF,2017-04-01,-20,-20,pre,-3.3574526337155106
DF,2017-05-01,-19,-19,pre,-4.8690482199110505
DF,2017-06-01,-18,-18,pre,-4.962151368088755
DF,2017-07-01,-17,-17,pre,-2.5592043654196885
DF,2017-08-01,-16,-16,pre,-1.035265689229277
DF,2017-09-01,-15,-15,pre,-0.12414085587558077
DF,2017-10-01,-14,-14,pre,0.6577961146130207
DF,2017-11-01,-13,-13,pre,0.7087142623648646
DF,2017-12-01,-12,-12,pre,-1.6839248480103493
DF,2018-01-01,-11,-11,pre,-2.056367027435172
DF,2018-02-01,-10,-10,pre,-2.1432401946002955
DF,2018-03-01,-9,-9,pre,-2.9733470325673323
DF,2018-04-01,-8,-8,pre,-3.5410847307698248
DF,2018-05-01,-7,-7,pre,-2.87074804568077
DF,2018-06-01,-6,-6,pre,-1.0946299424229693
DF,2018-07-01,-5,-5,pre,-1.0704018118200196
DF,2018-08-01,-4,-4,pre,-2.239458960666383
DF,2018-09-01,-3,-3,pre,-2.572566656625199
DF,2018-10-01,-2,-2,pre,-2.1285055848603633
DF,2018-11-01,-1,-1,pre,-4.121528095899976
