state_abbrev,period,period_date,year,bimester,uf,state_name,macroregion,total_revenue_nominal,total_revenue_real,state_tax_revenue_nominal,state_tax_revenue_real,federal_current_transfers_nominal,federal_capital_transfers_nominal,federal_transfers_nominal,federal_transfers_real,transfer_dependency_ratio,own_revenue_ratio,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,liquidated_expenditure_health_nominal,liquidated_expenditure_health_real,liquidated_expenditure_education_nominal,liquidated_expenditure_education_real,liquidated_expenditure_public_security_nominal,liquidated_expenditure_public_security_real,public_investment_liquidated_cumulative_nominal,public_investment_liquidated_nominal,public_investment_liquidated_real,public_investment_flow_is_derived,public_investment_negative_flow_flag,ipca_month_code,deflator_base_month,source_system,source_frequency,fiscal_series_version,original_public_investment_missing,investment_recovered_from_raw,public_investment_imputed_adjacent_mean,public_investment_imputation_method,quarter,icms_revenue_cumulative_nominal,icms_revenue_nominal,icms_revenue_flow_is_derived,icms_revenue_negative_flow_flag,pnadc_population,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,fiscal_deflator_factor,icms_revenue_real,icms_revenue_real_pc,state_tax_revenue_real_pc,public_investment_liquidated_real_pc,liquidated_expenditure_total_real_pc,liquidated_expenditure_health_real_pc,liquidated_expenditure_education_real_pc,liquidated_expenditure_public_security_real_pc,public_investment_share_total,priority_expenditure_share_total,instability_start_date,removal_date,icms_revenue_real_pc_ma4_clean,public_investment_share_total_ma4_clean,priority_expenditure_share_total_ma4_clean,icms_revenue_real_pc_ma4_visual,public_investment_share_total_ma4_visual,priority_expenditure_share_total_ma4_visual
AC,2018B6,2018-12-01,2018,6,12,Acre,North,1220045296.31,1816954026.0571637,391129058.98,582489453.9334292,545851580.33,15635967.17,561487547.5,836196051.9799151,0.4602186076190832,0.3205856865830812,1432214320.81,2132927018.5647664,175276193.6,261030296.65922785,355434156.54,529330774.58420247,133740525.67,199173249.7949521,400370322.94,135583545.77,201917969.84832004,TRUE,FALSE,201812,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,4,1201129953.11,311649281.56999993,TRUE,FALSE,620000,FALSE,TRUE,FALSE,,crisis,1.4892512856305422,464124093.2439572,748.5872471676729,939.4991192474665,325.6741449166452,3440.204868652849,421.0166075148836,853.7593138454879,321.2471770886324,0.09466707866272396,0.46393257360687107,2018-11-07,2018-12-10,,,,748.5872471676729,0.09466707866272396,0.46393257360687107
AC,2019B1,2019-02-01,2019,1,12,Acre,North,1048849462.53,1550352877.7059636,250975393.87,370978331.991673,591537401.3,4167478.47,595704879.77,880538921.559955,0.5679603232412975,0.23928638268508567,689144830.49,1018656832.3438504,109433707.16,161759021.55137438,129866591.7,191961812.77940217,96909481.6,143246384.77016497,145288.01,145288.01,214756.9240835933,TRUE,FALSE,201902,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,1,231491019.88,231491019.88,TRUE,FALSE,622000,FALSE,TRUE,FALSE,,post,1.4781462288842229,342177578.05618465,550.1247235629978,596.4281864817893,0.3452683666938799,1637.7119491058688,260.0627356131421,308.62027778038936,230.2996539713263,2.1082362309341634e-4,0.4878651998607407,2018-11-07,2018-12-10,,,,550.1247235629978,2.1082362309341634e-4,0.4878651998607407
AC,2019B2,2019-04-01,2019,2,12,Acre,North,947510324.19,1382254915.2246444,248901629.4,363104751.32784194,469860759.5,9403272.56,479264032.06,699163953.2494164,0.5058140474297305,0.26269015022372344,759631104.13,1108171384.1364577,129232270.93,188527699.52806884,160265170.26,233799372.6037518,93882238.78,136958070.7385798,6606321.64,6461033.63,9425538.977777274,TRUE,FALSE,201904,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,2,376608218.21,145117198.32999998,TRUE,FALSE,620000,FALSE,TRUE,FALSE,,post,1.4588283419563741,211701081.82910818,341.45335778888415,585.6528247223257,15.20248222222141,1787.373200220093,304.0769347226917,377.0957622641158,220.90011409448357,0.008505488512611363,0.5046919193877428,2018-11-07,2018-12-10,,,,445.789040675941,0.00435815606785239,0.4962785596242417
AC,2019B3,2019-06-01,2019,3,12,Acre,North,977538892.89,1424067685.1971223,248523009.47,362045530.2477571,522482756.02,1044558.4,523527314.42,762668714.4686825,0.5355565064754013,0.2542333724802146,1010335164.2,1471844925.0667837,123130318.03,179374865.03086773,217449726.04,316778319.7792181,100996006.15,147129847.966437,25980983.85,19374662.21,28224790.405322105,TRUE,FALSE,201906,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,2,546221630.77,169613412.56,TRUE,FALSE,620000,FALSE,TRUE,FALSE,,post,1.456788773883976,247090915.31755936,398.53373438316027,583.9444036254147,45.523855492455006,2373.9434275270705,289.3142984368834,510.9327738374485,237.30620639747906,0.019176470241279955,0.43705897395904963,2018-11-07,2018-12-10,,,,430.03727191168076,0.009297594125661578,0.4765386977358444
AC,2019B4,2019-08-01,2019,4,12,Acre,North,970887968.3,1410143613.2269356,320487935.91,465485236.91265315,441866624.34,22973188.98,464839813.32,675145758.6548804,0.4787780140420554,0.3300977521342305,1134053753.63,1647129957.2673645,163060439.64,236833337.14696133,263492847.39,382704048.262731,114490761.75,166289439.90102303,47758293,21777309.15,31629945.38382416,TRUE,FALSE,201908,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,3,789525136.36,243303505.59000003,TRUE,FALSE,623000,FALSE,TRUE,FALSE,,post,1.4524267055199591,353380509.06554073,567.223931084335,747.167314466538,50.77037782315274,2643.8683102204886,380.14981885547564,614.2922122997287,266.9172390064575,0.01920306606304407,0.4770885392761749,2018-11-07,2018-12-10,464.3339367048443,0.011773962110007202,0.476676158120927,464.3339367048443,0.011773962110007202,0.476676158120927
AC,2019B5,2019-10-01,2019,5,12,Acre,North,939602144.31,1363884383.8075447,281660136.46,408845237.3009421,421138836.71,8032277.88,429171114.59,622965565.4951975,0.45675833882346367,0.29976531893383246,959529732.28,1392810377.861329,138007837.89,200325995.50891733,216489854.01,314246974.55734795,104883574.85,152244299.0600807,66589173.61,18830880.61,27334062.776308153,TRUE,FALSE,201910,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,4,992764653.7,203239517.34000003,TRUE,FALSE,629000,FALSE,TRUE,FALSE,,post,1.4515552056441057,295013379.3874725,469.0196810611646,649.9924281414025,43.45637961257258,2214.324925057757,318.483299696212,499.59773379546573,242.04181090632864,0.019625114237215704,0.4787566776679601,2018-11-07,2018-12-10,444.057676079386,0.016627534763537774,0.4743990275727319,444.057676079386,0.016627534763537774,0.4743990275727319
AC,2019B6,2019-12-01,2019,6,12,Acre,North,1316705081.99,1879951187.6797931,310438231.28,443234198.4387378,745624777.26,30531717.62,776156494.88,1108172471.0667768,0.5894687470234088,0.23576899301612755,1347444272.82,1923839662.8589396,180288606.8,257410550.8627249,340801979.78,486586628.55825573,149015946.29,212760404.0137223,135808109.76,69218936.14999999,98828676.97940011,TRUE,FALSE,201912,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,4,1201090624.31,208325970.6099999,TRUE,FALSE,629000,FALSE,TRUE,FALSE,,post,1.4277693717400497,297441440.17497563,472.8798730921711,704.664862382731,157.12031316279828,3058.5686213973604,409.2377597181636,773.5876447667023,338.25183468000364,0.051370537206065735,0.49731669530760403,2018-11-07,2018-12-10,476.91430490520776,0.027343796936901366,0.47255522155269714,476.91430490520776,0.027343796936901366,0.47255522155269714
AC,2020B1,2020-02-01,2020,1,12,Acre,North,1088631006.28,1547189129.6119454,257329474.46,365722970.70038104,630865435.99,6078091.68,636943527.67,905239788.7831632,0.5850867043062851,0.2363789686087757,774735917.62,1101073718.4104226,107906328.4,153359124.76653838,157133951.33,223322631.80846623,67617548.75,96099721.38722812,22713805.4,22713805.4,32281418.225527104,TRUE,FALSE,202002,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,1,190292393.66,190292393.66,TRUE,FALSE,625000,FALSE,TRUE,FALSE,,post,1.4212245661630574,270448224.62356323,432.71715939770115,585.1567531206097,51.650269160843365,1761.717949456676,245.37459962646142,357.316210893546,153.759554219565,0.029318126194248405,0.42938222033377477,2018-11-07,2018-12-10,485.460161158843,0.02987921092514348,0.4706360331463785,485.460161158843,0.02987921092514348,0.4706360331463785
AC,2020B2,2020-04-01,2020,2,12,Acre,North,940338728.1,1339650821.025323,258169352.82,367800214.0438368,519497392.86,5572279.15,525069672.01,748038973.8120939,0.5583835444818153,0.27454931409838207,862663430.88,1228990935.8322363,159871946.66,227761101.613598,196500954.95,279944511.2325875,70236581.25,100062340.22466856,39249338.66,16535533.259999998,23557299.136885915,TRUE,FALSE,202004,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,2,365747427,175455033.34,TRUE,FALSE,624000,FALSE,TRUE,FALSE,,post,1.4246470776888582,249961500.5136322,400.5793277462055,589.4234199420462,37.752081950137686,1969.5367561414043,365.00176540640706,448.6290244111979,160.35631446260987,0.019168000715101784,0.4945259849774983,2018-11-07,2018-12-10,443.7990103243106,0.029870444588157907,0.4749953945717093,443.7990103243106,0.029870444588157907,0.4749953945717093
AC,2020B3,2020-06-01,2020,3,12,Acre,North,1098506510.03,1566879540.128699,206747161.52,294898477.53066534,655172849.07,13381718.12,668554567.19,953607887.8230778,0.6086031908647879,0.18820749775470497,928581086.59,1324502579.3143566,169504262.1,241776227.83669183,185158008.42,264104302.0094185,74148865.84,105763907.4030348,57430370.3,18181031.64,25932924.598116893,TRUE,FALSE,202006,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,2,507915822.8,142168395.8,TRUE,FALSE,624000,FALSE,TRUE,FALSE,,post,1.4263725574879917,202785098.31121108,324.97611908847927,472.59371399145084,41.55917403544374,2122.600287362751,387.46190358444204,423.24407373304246,169.4934413510173,0.01957936889148329,0.4617918053174118,2018-11-07,2018-12-10,407.7881198311393,0.029859008251724804,0.47075417648407225,407.7881198311393,0.029859008251724804,0.47075417648407225
AC,2020B4,2020-08-01,2020,4,12,Acre,North,1121803966.69,1590552966.020137,271727570.51,385269713.8336648,678048136.62,19578469.02,697626605.64,989131880.1887364,0.6218792466017216,0.2422237561806459,1133301790.26,1606855188.0884006,224601541.48,318451938.6464506,223709490.44,317187141.5253459,84149858.79,119312118.2157461,101353629.29,43923258.99000001,62276718.5161157,TRUE,FALSE,202008,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,FALSE,FALSE,FALSE,,3,697470713.35,189554890.55,TRUE,FALSE,638000,FALSE,TRUE,FALSE,,post,1.4178528631105038,268760944.2829157,421.2553985625638,603.8710248176563,97.61241146726599,2518.5817995116,499.140969665283,497.15852903659237,187.00958967985284,0.03875689544258395,0.4698315093880192,2018-11-07,2018-12-10,394.88200119873744,0.026705597810854357,0.463882880004176,394.88200119873744,0.026705597810854357,0.463882880004176
