dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
CE,2018-10-01,8,5,post,52.63156344730919
CE,2018-12-01,9,6,post,36.61684384076182
CE,2019-02-01,10,7,post,30.024588724343744
CE,2019-04-01,11,8,post,29.899209329188523
CE,2019-06-01,12,9,post,32.05066156504023
CE,2019-08-01,13,10,post,37.12873710417989
CE,2019-10-01,14,11,post,44.505826757866146
CE,2019-12-01,15,12,post,58.61918435923525
DF,2015-08-01,-11,-11,pre,52.036207628022794
DF,2015-10-01,-10,-10,pre,59.82173810284928
DF,2015-12-01,-9,-9,pre,40.20198404179024
DF,2016-02-01,-8,-8,pre,20.17978852405514
DF,2016-04-01,-7,-7,pre,11.826894729273079
DF,2016-06-01,-6,-6,pre,-2.7612422109743875
DF,2016-08-01,-5,-5,pre,2.929889869509566
DF,2016-10-01,-4,-4,pre,14.944165369749498
DF,2016-12-01,-3,-3,pre,4.895046194958184
DF,2017-02-01,-2,-2,pre,7.823177026707242
DF,2017-04-01,-1,-1,pre,5.620932953854208
DF,2018-02-01,4,1,post,51.70396403453708
DF,2018-04-01,5,2,post,56.85505477522656
DF,2018-06-01,6,3,post,56.90421857578559
DF,2018-08-01,7,4,post,55.47712232895333
DF,2018-10-01,8,5,post,49.90302309632523
DF,2018-12-01,9,6,post,30.57152212578319
DF,2019-02-01,10,7,post,23.392662456567052
DF,2019-04-01,11,8,post,24.09682365113457
DF,2019-06-01,12,9,post,26.960412241838185
DF,2019-08-01,13,10,post,35.268647740717824
DF,2019-10-01,14,11,post,43.8084430507281
DF,2019-12-01,15,12,post,57.609098670854905
ES,2015-08-01,-11,-11,pre,48.062329543218425
ES,2015-10-01,-10,-10,pre,54.398587357606175
ES,2015-12-01,-9,-9,pre,35.98382812798616
ES,2016-02-01,-8,-8,pre,16.398418423047872
ES,2016-04-01,-7,-7,pre,8.36805203940105
ES,2016-06-01,-6,-6,pre,-5.850950179158758
ES,2016-08-01,-5,-5,pre,-1.1172322664197054
ES,2016-10-01,-4,-4,pre,10.858221690205994
ES,2016-12-01,-3,-3,pre,2.4642765857107065
ES,2017-02-01,-2,-2,pre,5.905127860432003
ES,2017-04-01,-1,-1,pre,4.510826116337569
ES,2018-02-01,4,1,post,52.23626321154228
ES,2018-04-01,5,2,post,58.187583785526385
ES,2018-06-01,6,3,post,59.00524922052216
ES,2018-08-01,7,4,post,57.51637480986881
ES,2018-10-01,8,5,post,52.46961439236998
ES,2018-12-01,9,6,post,36.478755122983785
ES,2019-02-01,10,7,post,29.907866945002695
ES,2019-04-01,11,8,post,29.760727879975605
ES,2019-06-01,12,9,post,31.909614186697866
ES,2019-08-01,13,10,post,36.993320835413556
ES,2019-10-01,14,11,post,44.35697056353655
ES,2019-12-01,15,12,post,58.4791939359377
GO,2015-08-01,-11,-11,pre,48.00278321715757
GO,2015-10-01,-10,-10,pre,54.35594532966911
GO,2015-12-01,-9,-9,pre,35.92776618515995
GO,2016-02-01,-8,-8,pre,16.33970852853662
GO,2016-04-01,-7,-7,pre,8.307465071614786
GO,2016-06-01,-6,-6,pre,-5.913205310439878
GO,2016-08-01,-5,-5,pre,-1.1604494789224873
GO,2016-10-01,-4,-4,pre,10.815284445878206
GO,2016-12-01,-3,-3,pre,2.396747221086173
GO,2017-02-01,-2,-2,pre,5.832375038865166
GO,2017-04-01,-1,-1,pre,4.425211913536884
GO,2018-02-01,4,1,post,52.12647886463776
GO,2018-04-01,5,2,post,58.066705083661304
GO,2018-06-01,6,3,post,58.87517933914273
GO,2018-08-01,7,4,post,57.38957907475884
GO,2018-10-01,8,5,post,52.336446019462926
GO,2018-12-01,9,6,post,36.29760206739297
GO,2019-02-01,10,7,post,29.71517537112669
GO,2019-04-01,11,8,post,29.581296812187077
GO,2019-06-01,12,9,post,31.74069266965057
GO,2019-08-01,13,10,post,36.86957390668471
GO,2019-10-01,14,11,post,44.25123687657816
GO,2019-12-01,15,12,post,58.362664715844744
MA,2015-08-01,-11,-11,pre,48.65754981050054
MA,2015-10-01,-10,-10,pre,54.751177546282406
MA,2015-12-01,-9,-9,pre,36.55535164048683
MA,2016-02-01,-8,-8,pre,17.003697004005005
MA,2016-04-01,-7,-7,pre,8.980137373498621
MA,2016-06-01,-6,-6,pre,-5.207334473684796
MA,2016-08-01,-5,-5,pre,-0.6354957283925842
MA,2016-10-01,-4,-4,pre,11.320281148464119
MA,2016-12-01,-3,-3,pre,3.230144801051665
MA,2017-02-01,-2,-2,pre,6.699427464082021
MA,2017-04-01,-1,-1,pre,5.487772191574265
MA,2018-02-01,4,1,post,53.49219166953452
MA,2018-04-01,5,2,post,59.60232823734589
MA,2018-06-01,6,3,post,60.576287379076234
MA,2018-08-01,7,4,post,59.07099541463754
MA,2018-10-01,8,5,post,54.12198243214414
MA,2018-12-01,9,6,post,38.53303426898299
MA,2019-02-01,10,7,post,32.001826594297086
MA,2019-04-01,11,8,post,31.795267214386456
MA,2019-06-01,12,9,post,33.847980652690524
MA,2019-08-01,13,10,post,38.4592923775881
MA,2019-10-01,14,11,post,45.68907992250644
MA,2019-12-01,15,12,post,59.87706698509828
MG,2015-08-01,-11,-11,pre,48.24506141292267
MG,2015-10-01,-10,-10,pre,54.65439231276741
MG,2015-12-01,-9,-9,pre,36.21138882639582
MG,2016-02-01,-8,-8,pre,16.590952773816127
MG,2016-04-01,-7,-7,pre,8.512239301791112
MG,2016-06-01,-6,-6,pre,-5.723463152462045
MG,2016-08-01,-5,-5,pre,-0.8196253469941439
MG,2016-10-01,-4,-4,pre,11.137816317414945
MG,2016-12-01,-3,-3,pre,2.612136350372623
MG,2017-02-01,-2,-2,pre,5.963917487113633
MG,2017-04-01,-1,-1,pre,4.53677136005706
MG,2018-02-01,4,1,post,52.10572004945135
MG,2018-04-01,5,2,post,58.021491364454675
MG,2018-06-01,6,3,post,58.83299876739318
MG,2018-08-01,7,4,post,57.379496710608805
MG,2018-10-01,8,5,post,52.31504149863713
MG,2018-12-01,9,6,post,35.807755424659945
MG,2019-02-01,10,7,post,29.054902486383526
