period,period_date,state_tax_revenue_nominal,state_tax_revenue_real,pnadc_population,state_tax_revenue_real_pc,total_revenue_real,own_revenue_ratio,analysis_period
2018B1,2018-02-01,107853828.8,165625672.78063115,381000,434.7130519176671,990674913.1755816,0.16718468447911186,pre
2018B2,2018-04-01,109178197.64,167141103.9677272,385000,434.13273757851226,817793099.3525416,0.20438067293555692,pre
2018B3,2018-06-01,107663775.15,162123146.1403527,385000,421.09908088403296,890957591.6367552,0.181965053850117,pre
2018B4,2018-08-01,104344553.6,156748979.57414207,390000,401.9204604465181,746834630.0023158,0.20988445537622705,pre
2018B5,2018-10-01,106693808.88,158798001.97411662,394000,403.0406141475042,785312706.1494399,0.20220989770143663,pre
2018B6,2018-12-01,136835265.24,203782094.6782663,394000,517.2134382697113,1354673587.7799838,0.15042892731984311,crisis
