Covariate,Treated,Retail volume,Services volume,Formal hiring,Construction,ICMS,Tax revenue
ICMS secondary VA pc,51.463,42.963,50.964,39.605,39.409,45.383,45.079
ICMS tertiary VA pc,83.627,76.315,68.413,76.662,77.666,79.709,78.965
ICMS energy VA pc, 4.517,10.652,12.257,11.617,10.988,11.122,10.878
ICMS fuels VA pc,20.509,19.374,22.972,21.341,23.667,21.272,21.984
FPE transfer pc,37.524,65.757,37.788,54.979,57.842,56.824,58.336
IOF-state pc, 0.001, 0.004, 0.002, 0.001, 0.000, 0.003, 0.003
