Outcome,Gap post,LOO rank,p (2-sided)
Retail volume,-1.29,23 / 25,0.12
Services volume,0.87,25 / 25,0.04
Formal hiring,9.93,25 / 25,0.04
Construction,0.54,20 / 25,0.24
ICMS,0.05,2 / 25,0.08
Tax revenue,0.02,2 / 25,0.08
