donor_state,scm_weight
BA,0.4708496103028759
PA,0.2069189230821885
AP,0.1070693047824067
AC,0.07191344870918262
RO,0.050246380088189796
DF,0.046804407030161164
RJ,0.04598719935457041
PE,2.1072664921077493e-4
ES,7.690285014736869e-13
SP,2.418246138763754e-13
GO,1.9749166755570587e-13
PB,5.042467223915478e-15
PR,2.581152015141514e-16
SC,1.419744622757641e-16
MS,1.298092994336845e-16
RN,1.0031839345947101e-16
PI,5.816255272397981e-17
MT,6.981260701983887e-18
SE,1.0842021725001018e-19
AL,0
CE,0
MA,0
MG,0
RS,0
