period_date,event_time,plot_time,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2015-08-01,-11,-11,pre,532.3133466112529,482.2417391142963,50.1104957409025,1e-4,0.001321724334032167,532.3522348551988,50.071607496956574,-0.03888824394596213,state_tax_revenue_real_pc_ma4_v5
2015-10-01,-10,-10,pre,526.5774001875465,481.6756027129026,44.777425050333164,1e-4,0.0035532044637349085,526.4530277632358,44.90179747464384,0.12437242431064988,state_tax_revenue_real_pc_ma4_v5
2015-12-01,-9,-9,pre,519.3147245866141,484.3529496399072,35.03617803233514,1e-4,0.00259599153926431,519.3891276722424,34.96177494670695,-0.07440308562820519,state_tax_revenue_real_pc_ma4_v5
2016-02-01,-8,-8,pre,498.0490030072715,479.3389221936675,18.7409481360343,1e-4,0.0017156245733847095,498.0798703297018,18.71008081360401,-0.03086732243031065,state_tax_revenue_real_pc_ma4_v5
2016-04-01,-7,-7,pre,485.4441008411177,475.71314497469035,9.536482772931285,1e-4,0.0026734262432489522,485.2496277476216,9.730955866427337,0.19447309349607167,state_tax_revenue_real_pc_ma4_v5
2016-06-01,-6,-6,pre,464.46078217343967,474.07386497462613,-9.268984455778062,1e-4,0.003839507036374504,464.80488051884805,-9.613082801186465,-0.34409834540838347,state_tax_revenue_real_pc_ma4_v5
2016-08-01,-5,-5,pre,453.06456095380895,464.59526038000496,-11.775157601395078,1e-4,0.00296497942212234,452.8201027786099,-11.530699426196009,0.24445817519904267,state_tax_revenue_real_pc_ma4_v5
2016-10-01,-4,-4,pre,461.8941151258291,466.27106330950835,-4.308423885709181,1e-4,0.0013692804921752405,461.96263942379915,-4.3769481836792465,-0.06852429797004334,state_tax_revenue_real_pc_ma4_v5
2016-12-01,-3,-3,pre,464.02071583812824,470.9662147812295,-7.025232614606961,1e-4,0.0015949504990381157,463.9409821666225,-6.945498943101256,0.0797336715057213,state_tax_revenue_real_pc_ma4_v5
2017-02-01,-2,-2,pre,466.6917756257979,470.2494543042572,-3.3131906084542457,1e-4,0.002957671560156642,466.93626369580295,-3.557678678459297,-0.24448807000504758,state_tax_revenue_real_pc_ma4_v5
2017-04-01,-1,-1,pre,468.3499629886808,467.37640313085245,0.8108764525245921,1e-4,0.0023878742840936634,468.18727958337706,0.9735598578283202,0.16268340530371006,state_tax_revenue_real_pc_ma4_v5
2018-02-01,4,1,post,536.316573240489,493.9189641287982,-0.6684126139472636,0.06951927961775606,0.11793234787558188,493.25055151485094,42.39760911169077,43.06602172563805,state_tax_revenue_real_pc_ma4_v5
2018-04-01,5,2,post,544.8605626580542,495.3901246709339,1.7254529050042398,5.455594781168514,0.14804805996536552,497.1155775759382,49.47043798712025,47.74498508211599,state_tax_revenue_real_pc_ma4_v5
2018-06-01,6,3,post,540.6424008976641,494.7046757829404,2.2557535037040344,5.455594781168514,0.15250103934700399,496.96042928664446,45.93772511472366,43.681971611019605,state_tax_revenue_real_pc_ma4_v5
2018-08-01,7,4,post,540.0827077322275,499.02211386684303,2.784970062917105,5.455594781168514,0.16540994421921282,501.80708392976015,41.060593865384476,38.27562380246735,state_tax_revenue_real_pc_ma4_v5
2018-10-01,8,5,post,539.5224249932285,499.4152139128016,5.001639098215374,1.8329807108324339,0.1802315718432518,504.416853011017,40.10721108042685,35.10557198221147,state_tax_revenue_real_pc_ma4_v5
2018-12-01,9,6,post,554.1768847371338,528.4578513765082,3.135055439559476,1.8329807108324339,0.1959907116148257,531.5929068160676,25.719033360625644,22.583977921066207,state_tax_revenue_real_pc_ma4_v5
2019-02-01,10,7,post,563.3622067897538,538.0284640202211,-0.5547098358752915,16.23776739188721,0.19650237124609105,537.4737541843458,25.333742769532705,25.88845260540802,state_tax_revenue_real_pc_ma4_v5
2019-04-01,11,8,post,556.6501123341149,532.0657231639082,-1.1436505626860032,16.23776739188721,0.2149399768288829,530.9220726012221,24.58438917020669,25.72803973289274,state_tax_revenue_real_pc_ma4_v5
2019-06-01,12,9,post,554.5868531203812,531.7471539059461,-0.38962108342699203,16.23776739188721,0.1886931171848822,531.3575328225191,22.839699214435086,23.229320297862046,state_tax_revenue_real_pc_ma4_v5
2019-08-01,13,10,post,543.8800904884965,516.630817480164,-0.15261169777438588,16.23776739188721,0.1917362987613695,516.4782057823895,27.24927300833258,27.401884706107012,state_tax_revenue_real_pc_ma4_v5
2019-10-01,14,11,post,552.5724362162572,520.0960648581004,1.8166222200713564,5.455594781168514,0.18796697279885535,521.9126870781718,32.476371358156825,30.65974913808543,state_tax_revenue_real_pc_ma4_v5
2019-12-01,15,12,post,595.6112077650255,537.0234173773318,0.07737755056914623,5.455594781168514,0.21201576923248658,537.100794927901,58.587790387693644,58.51041283712448,state_tax_revenue_real_pc_ma4_v5
