period_date,event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome,family
2016-02-01,-34,-32.5836442099914,-145.7055348231796,24.711449424112175,16.23776739188721,-120.99408539906742,113.12189061318819,88.41044118907601,formal_hiring_3m,monthly
2016-03-01,-33,21.5121440918307,-128.0380385452655,28.643422000948455,5.455594781168514,-99.39461654431705,149.55018263709619,120.90676063614774,formal_hiring_3m,monthly
2016-04-01,-32,-2.5763385291113003,-150.7110696665527,58.18143120522508,0.615848211066026,-92.52963846132762,148.1347311374414,89.95329993221632,formal_hiring_3m,monthly
2016-05-01,-31,26.3357241896163,-128.05730505368717,72.22181897650775,0.615848211066026,-55.835486077179425,154.3930292433035,82.17121026679573,formal_hiring_3m,monthly
2016-06-01,-30,-34.8775288600773,-116.45191920720089,60.86701473300838,1.8329807108324339,-55.584904474192506,81.5743903471236,20.707375614115207,formal_hiring_3m,monthly
2016-07-01,-29,-15.78928439089567,-33.64412091986092,72.99423295962563,5.455594781168514,39.35011203976472,17.854836528965247,-55.13939643066038,formal_hiring_3m,monthly
2016-08-01,-28,-53.81616013802117,-33.12961684911488,84.51243928088536,5.455594781168514,51.38282243177048,-20.686543288906286,-105.19898256979164,formal_hiring_3m,monthly
2016-09-01,-27,-57.69532997352387,-50.70578421283273,88.15290922262872,1.8329807108324339,37.44712500979599,-6.989545760691136,-95.14245498331985,formal_hiring_3m,monthly
2016-10-01,-26,-71.6373620052089,-110.19277262992695,53.51180158254651,1.8329807108324339,-56.68097104738044,38.55541062471805,-14.95639095782846,formal_hiring_3m,monthly
2016-11-01,-25,-61.1934563470323,-147.49152801316228,33.23326875921734,5.455594781168514,-114.25825925394494,86.29807166612997,53.06480290691264,formal_hiring_3m,monthly
2016-12-01,-24,-65.693464151913,-116.50879275751704,7.4893658388328594,143.8449888287663,-109.01942691868419,50.81532860560404,43.325962766771184,formal_hiring_3m,monthly
