period_date,event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome,family
2016-02-01,-34,4.381872851655896,4.37520837653332,0.05480648510690927,0.2069138081114788,4.430014861640229,0.00666447512257573,-0.04814200998433371,retail_ma3_log,monthly
2016-03-01,-33,4.370752939463563,4.36702004273946,0.06369177670059563,0.06951927961775606,4.430711819440056,0.003732896724103263,-0.05995887997649252,retail_ma3_log,monthly
2016-04-01,-32,4.374170064198778,4.361994229244993,0.05324526783542574,0.023357214690901212,4.415239497080418,0.01217583495378527,-0.04106943288164011,retail_ma3_log,monthly
2016-05-01,-31,4.349585424528389,4.346362755542099,0.05047507190190473,0.007847599703514606,4.396837827444004,0.003222668986289534,-0.047252402915614944,retail_ma3_log,monthly
2016-06-01,-30,4.346221022880531,4.341159225576148,0.05101233804794123,0.0026366508987303583,4.392171563624089,0.005061797304382942,-0.045950540743557866,retail_ma3_log,monthly
2016-07-01,-29,4.353818940125139,4.328543373391642,0.04859679405321671,0.0026366508987303583,4.377140167444859,0.02527556673349718,-0.02332122731971964,retail_ma3_log,monthly
2016-08-01,-28,4.393276461196055,4.314428943060528,0.03918975406930356,0.06951927961775606,4.353618697129831,0.07884751813552704,0.03965776406622368,retail_ma3_log,monthly
2016-09-01,-27,4.411253420613884,4.29438579916662,0.03156075532230385,0.2069138081114788,4.325946554488924,0.11686762144726348,0.08530686612495941,retail_ma3_log,monthly
2016-10-01,-26,4.413631899780667,4.2826083836501505,0.031062828301330548,0.2069138081114788,4.313671211951481,0.13102351613051688,0.09996068782918677,retail_ma3_log,monthly
2016-11-01,-25,4.403226097299441,4.278798711584009,0.021857759146748337,0.615848211066026,4.300656470730757,0.12442738571543188,0.10256962656868396,retail_ma3_log,monthly
2016-12-01,-24,4.401059870238666,4.277247603188979,0.02234973556004938,0.615848211066026,4.299597338749028,0.12381226704968729,0.1014625314896378,retail_ma3_log,monthly
2017-01-01,-23,4.340929683917645,4.302685373677193,0.020858812038676556,0.615848211066026,4.323544185715869,0.038244310240452606,0.017385498201775818,retail_ma3_log,monthly
2017-02-01,-22,4.308978150025871,4.3263268661901835,0.002771669436477149,0.2069138081114788,4.3290985356266605,-0.017348716164312883,-0.02012038560078988,retail_ma3_log,monthly
2017-03-01,-21,4.265738849878792,4.346688975428645,-0.029428566405202843,0.023357214690901212,4.317260409023442,-0.08095012554985281,-0.05152155914464984,retail_ma3_log,monthly
2017-04-01,-20,4.292329680317291,4.348730953579591,-0.045504078188630045,0.023357214690901212,4.303226875390961,-0.056401273262300045,-0.01089719507367004,retail_ma3_log,monthly
2017-05-01,-19,4.289232118297801,4.353530612296236,-0.041421265024571156,0.007847599703514606,4.312109347271665,-0.06429849399843501,-0.022877228973864128,retail_ma3_log,monthly
2017-06-01,-18,4.30366688397565,4.366104611012903,-0.03228071456132412,0.06951927961775606,4.333823896451579,-0.06243772703725359,-0.030157012475929612,retail_ma3_log,monthly
