period_date,event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-05-01,-31,19.647269963158603,20.03861244780207,-0.32839464371644855,0.007847599703514606,19.71021780408562,-0.39134248464346655,-0.06294784092701633,icms_conf6m_log
2016-06-01,-30,19.646815305344152,19.99592488823586,-0.32618156619942973,1e-4,19.669743322036428,-0.3491095828917068,-0.022928016692276287,icms_conf6m_log
2016-07-01,-29,19.63314208251434,19.984012602876227,-0.336242376954313,1e-4,19.647770225921914,-0.3508705203618874,-0.014628143407573901,icms_conf6m_log
2016-08-01,-28,19.659733840166695,20.002926522703515,-0.3363734941497504,1e-4,19.666553028553764,-0.3431926825368201,-0.00681918838706963,icms_conf6m_log
2016-09-01,-27,19.676376869391103,19.997781534155063,-0.32236107658317,8.858667904100823e-4,19.675420457571892,-0.32140466476396057,9.564118192102455e-4,icms_conf6m_log
2016-10-01,-26,19.699145295995045,19.98942684923412,-0.3154087420121725,8.858667904100823e-4,19.674018107221947,-0.2902815532390761,0.02512718877309794,icms_conf6m_log
2016-11-01,-25,19.70911797128255,20.00897178512835,-0.3257346850669899,0.0026366508987303583,19.68323710006136,-0.29985381384580023,0.025880871221190205,icms_conf6m_log
2016-12-01,-24,19.73521220147922,20.093420915551047,-0.3485939210366194,0.0026366508987303583,19.744826994514426,-0.3582087140718251,-0.009614793035204627,icms_conf6m_log
2017-01-01,-23,19.78095744968779,20.09666916026274,-0.31733644072692113,2.9763514416313193e-4,19.779332719535816,-0.3157117105749485,0.0016247301519740631,icms_conf6m_log
2017-02-01,-22,19.768772575194415,20.126840771676818,-0.3451042372851749,2.9763514416313193e-4,19.781736534391644,-0.35806819648240307,-0.012963959197229258,icms_conf6m_log
2017-03-01,-21,19.77698933704379,20.129425830292828,-0.3701628886053999,2.9763514416313193e-4,19.759262941687428,-0.35243649324903714,0.017726395356362445,icms_conf6m_log
2017-04-01,-20,19.761571785937768,20.128727243196916,-0.37825147172699247,2.9763514416313193e-4,19.750475771469922,-0.3671554572591482,0.011096014467845805,icms_conf6m_log
2017-05-01,-19,19.77961445035827,20.125089456798918,-0.36875148494272086,0.0026366508987303583,19.756337971856198,-0.34547500644064755,0.023276478502072706,icms_conf6m_log
2017-06-01,-18,19.776564370639516,20.111353826341634,-0.36415147137957216,0.0026366508987303583,19.747202354962063,-0.3347894557021185,0.029362015677453,icms_conf6m_log
2017-07-01,-17,19.757635876569587,20.129875429977574,-0.38600983956984525,1e-4,19.74386559040773,-0.37223955340798653,0.013770286161857825,icms_conf6m_log
2017-08-01,-16,19.764044007749185,20.126106046840878,-0.37741730079515773,2.9763514416313193e-4,19.74868874604572,-0.3620620390916933,0.015355261703465573,icms_conf6m_log
2017-09-01,-15,19.7725911439524,20.16018433812577,-0.37946771923039013,1e-4,19.78071661889538,-0.3875931941733697,-0.008125474942978883,icms_conf6m_log
2017-10-01,-14,19.764238114053597,20.21181743763805,-0.4097206909411786,2.9763514416313193e-4,19.802096746696872,-0.44757932358445274,-0.0378586326432746,icms_conf6m_log
2017-11-01,-13,19.767684419270942,20.24979886365097,-0.4629045304428091,2.9763514416313193e-4,19.78689433320816,-0.48211444438002715,-0.019209913937217493,icms_conf6m_log
2017-12-01,-12,19.782769094197064,20.27259242696784,-0.49521090522699657,1e-4,19.777381521740843,-0.4898233327707757,0.00538757245622179,icms_conf6m_log
2018-01-01,-11,19.815000852428884,20.301241603675965,-0.4779237584530222,2.9763514416313193e-4,19.82331784522294,-0.486240751247081,-0.008316992794057398,icms_conf6m_log
2018-02-01,-10,19.80947550895541,20.294895466455838,-0.4909221460532252,2.9763514416313193e-4,19.803973320402612,-0.48541995750042943,0.005502188552796383,icms_conf6m_log
2018-03-01,-9,19.79230718771104,20.302125337628066,-0.4862698531771004,1e-4,19.815855484450967,-0.5098181499170273,-0.02354829673992853,icms_conf6m_log
2018-04-01,-8,19.829073739134294,20.273715613195677,-0.4585176554282927,1e-4,19.815197957767385,-0.4446418740613822,0.013875781366909479,icms_conf6m_log
2018-05-01,-7,19.831948709887932,20.2624312294597,-0.43217345839640725,8.858667904100823e-4,19.830257771063295,-0.4304825195717683,0.0016909388246375556,icms_conf6m_log
2018-06-01,-6,19.831241426813595,20.204201223886965,-0.3617735153960367,2.9763514416313193e-4,19.842427708490927,-0.3729597970733707,-0.011186281677332488,icms_conf6m_log
2018-07-01,-5,19.83232205475692,20.20361009208267,-0.3861537498934167,1e-4,19.817456342189253,-0.3712880373257512,0.014865712567665668,icms_conf6m_log
2018-08-01,-4,19.85346225982633,20.239876772427756,-0.3885033546496944,2.9763514416313193e-4,19.851373417778063,-0.38641451260142645,0.002088842048266315,icms_conf6m_log
2018-09-01,-3,19.880954179097543,20.240116415486707,-0.3719147817361955,8.858667904100823e-4,19.868201633750513,-0.3591622363891638,0.01275254534703052,icms_conf6m_log
2018-10-01,-2,19.89794505240674,20.282029137776746,-0.3779126787322072,1e-4,19.904116459044538,-0.3840840853700058,-0.006171406637797361,icms_conf6m_log
2018-11-01,-1,19.9440260085087,20.31341631052161,-0.36793793268464653,2.9763514416313193e-4,19.945478377836963,-0.3693903020129099,-0.0014523693282626482,icms_conf6m_log
2018-12-01,0,19.967654013143417,20.5223939587787,-0.4329357145921556,0.007847599703514606,20.089458244186545,-0.5547399456352835,-0.12180423104312865,icms_conf6m_log
2019-01-01,1,19.982493858513877,20.530272370394254,-0.43239551545072397,0.007847599703514606,20.09787685494353,-0.5477785118803773,-0.115382996429652,icms_conf6m_log
2019-02-01,2,20.00314909937449,20.529538132445754,-0.42595647690113625,0.007847599703514606,20.10358165554462,-0.5263890330712648,-0.10043255617013003,icms_conf6m_log
2019-03-01,3,20.012753580406756,20.522409489614542,-0.43990950001455037,0.023357214690901212,20.08249998959999,-0.5096559092077868,-0.06974640919323605,icms_conf6m_log
2019-04-01,4,20.030707626909273,20.512192581726413,-0.43107758712525557,0.023357214690901212,20.08111499460116,-0.48148495481714093,-0.050407367691885696,icms_conf6m_log
2019-05-01,5,20.04967424728931,20.484764968371334,-0.4230589281196136,0.023357214690901212,20.06170604025172,-0.4350907210820232,-0.012031792962410748,icms_conf6m_log
2019-06-01,6,20.085671685507897,20.281054357274737,-0.34795920311467304,0.0026366508987303583,19.933095154160064,-0.19538267176683988,0.1525765313478331,icms_conf6m_log
