pseudo_treated_state,period_date,event_time,augmented_gap
AM,2008-08-01,-18,0.004730012952566476
AM,2008-09-01,-17,-0.009999877876956553
AM,2008-10-01,-16,-0.004667367936276534
AM,2008-11-01,-15,0.00685403065735013
AM,2008-12-01,-14,0.013364291089509983
AM,2009-01-01,-13,-0.01100015728365733
AM,2009-02-01,-12,-0.004801157925910182
AM,2009-03-01,-11,0.004152210373572274
AM,2009-04-01,-10,0.004447558519342643
AM,2009-05-01,-9,0.004200591268370246
AM,2009-06-01,-8,-0.004012553814124686
AM,2009-07-01,-7,5.218690111696844e-5
AM,2009-08-01,-6,0.006019994768514003
AM,2009-09-01,-5,0.006190462051541168
AM,2009-10-01,-4,-0.008819224598704878
AM,2009-11-01,-3,-0.0014116682896911925
AM,2009-12-01,-2,-0.003808244765256319
AM,2010-01-01,-1,0.0074437627137129425
AM,2010-02-01,0,-0.002717935239552105
AM,2010-03-01,1,-7.229778780653007e-4
AM,2010-04-01,2,1.536852247241427e-6
AM,2010-05-01,3,-0.01163908490496901
AM,2010-06-01,4,-0.006211248785697343
AM,2010-07-01,5,0.01624750537018027
AM,2010-08-01,6,0.020189724019243904
AM,2010-09-01,7,0.02654122168261175
AM,2010-10-01,8,0.023870557595907727
AM,2010-11-01,9,0.02676985419590583
AM,2010-12-01,10,0.02185685276073812
AM,2011-01-01,11,0.031115647617936837
AM,2011-02-01,12,0.038573248708662966
AM,2011-03-01,13,0.041623153808614255
AM,2011-04-01,14,0.037220914220705836
AM,2011-05-01,15,0.037384968583022093
AM,2011-06-01,16,0.03808494119778505
AM,2011-07-01,17,0.02385188852477782
AM,2011-08-01,18,0.014126305011505025
AM,2011-09-01,19,0.001688445084059076
AM,2011-10-01,20,0.0044288725881980184
AM,2011-11-01,21,0.007192804288612464
AM,2011-12-01,22,0.008593052302624749
AM,2012-01-01,23,-0.0050826499781519985
AP,2007-07-01,-31,0.019134563100243973
AP,2007-08-01,-30,-0.018043910813510422
AP,2007-09-01,-29,-0.008257885412416677
AP,2007-10-01,-28,0.030761481303008154
AP,2007-11-01,-27,0.025863546067626864
AP,2007-12-01,-26,-0.015927680331043526
AP,2008-01-01,-25,-0.009351899162989952
AP,2008-02-01,-24,0.010548333700586277
AP,2008-03-01,-23,-0.008703520454909075
AP,2008-04-01,-22,-0.013113111377711206
AP,2008-05-01,-21,-0.013618292168056101
AP,2008-06-01,-20,0.011781257196739503
AP,2008-07-01,-19,-0.0025355110943481307
AP,2008-08-01,-18,-0.009879084026274576
AP,2008-09-01,-17,0.01316527043092286
AP,2008-10-01,-16,0.01248960141848876
AP,2008-11-01,-15,-0.0036846404099781793
AP,2008-12-01,-14,-0.018374761110423243
AP,2009-01-01,-13,0.013233219477142733
AP,2009-02-01,-12,-0.0010145974803954516
AP,2009-03-01,-11,-0.0028849524292535733
AP,2009-04-01,-10,-0.0034320698669638716
AP,2009-05-01,-9,-0.008744214371914971
AP,2009-06-01,-8,-0.006050847125393055
AP,2009-07-01,-7,0.0025398297165200034
AP,2009-08-01,-6,0.003321633843251348
AP,2009-09-01,-5,-0.003930123696410881
AP,2009-10-01,-4,6.450930326939996e-4
AP,2009-11-01,-3,0.017643741724568507
AP,2009-12-01,-2,0.030828660733187796
AP,2010-01-01,-1,-0.021166019692470783
AP,2010-02-01,0,-0.029714441535738878
AP,2010-03-01,1,-0.0522672371658528
AP,2010-04-01,2,-0.07174769525639313
AP,2010-05-01,3,-0.07488580977924109
AP,2010-06-01,4,-0.1021687381904881
AP,2010-07-01,5,-0.1031239057278519
AP,2010-08-01,6,-0.10654380010808673
