pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.012789116018704173,0.3331773390832167,26.051631605807817
AL,0.0025578626740818526,0.021890586976000718,8.558155681230373
AM,0.009275419732441849,0.025654173421897648,2.7658234518670053
AP,0.014183590957609364,0.13633048538692233,9.611845532938348
BA,0.0014245893796823264,0.021053516636911483,14.77865617782878
CE,0.0037375363032090487,0.06709383041901837,17.951352167846935
ES,0.0035713422322145353,0.07473800134359847,20.927146289549114
GO,0.003738364357046704,0.05385868079791647,14.407017522621754
MG,0.0029147464522499902,0.014943702647632322,5.126930555519428
MS,0.004512859909318381,0.040775368346263045,9.035372062418336
MT,0.0049508675130105215,0.02400044921290646,4.847726009600341
PA,0.006396602108434359,0.04367955452627136,6.8285558153878085
PE,0.0020536890576361784,0.007546627430826099,3.6746689586554844
PI,0.006453263267309037,0.10462405409754232,16.212581102579094
PR,0.0023397013209786087,0.013010053541856437,5.560561694436632
RJ,0.003025705734772906,0.02982721043294321,9.857934990225308
RN,0.0037625077594607348,0.019423628852365076,5.162415626525907
RO,0.008197356052263656,0.11107176922242505,13.54970657786094
RR,0.010019471886383448,0.05766970173957466,5.755762618381944
RS,0.0019490765266409842,0.028800800008475957,14.776638892732919
SC,0.0015642105013968163,0.029685265287967496,18.977794396252296
SE,0.004012836900926635,0.03911606557670058,9.74773372116569
SP,0.003979494125762239,0.04627785917507731,11.629080911436995
