pseudo_treated_state,period_date,event_time,augmented_gap
AP,2017-08-01,-16,-0.06721729198221738
AP,2017-09-01,-15,0.03156604030035659
AP,2017-10-01,-14,0.010442378863343649
AP,2017-11-01,-13,0.019580924410250056
AP,2017-12-01,-12,0.0039210528815916135
AP,2018-01-01,-11,-0.017471132260160616
AP,2018-02-01,-10,-0.0028210840243447777
AP,2018-03-01,-9,-0.013521752036700363
AP,2018-04-01,-8,-0.0027834711028500436
AP,2018-05-01,-7,-0.003267775191390321
AP,2018-06-01,-6,7.487908441889957e-4
AP,2018-07-01,-5,-0.005161206620510228
AP,2018-08-01,-4,0.018069923791173004
AP,2018-09-01,-3,2.4087981680409598e-4
AP,2018-10-01,-2,0.005296661139168712
AP,2018-11-01,-1,-0.007124232129238628
AP,2018-12-01,0,-0.10399560965472165
AP,2019-01-01,1,-0.12686079681503326
AP,2019-02-01,2,-0.1353707566509783
AP,2019-03-01,3,-0.14399986617385352
AP,2019-04-01,4,-0.07260265748939077
AP,2019-05-01,5,-0.13924429144243522
AP,2019-06-01,6,0.004745518995936671
AP,2019-07-01,7,-0.024840798023132216
AP,2019-08-01,8,0.0865620836038099
AP,2019-09-01,9,0.07343039730931444
AP,2019-10-01,10,0.008733008099293116
AP,2019-11-01,11,0.12754499500062977
AP,2019-12-01,12,0.024175142684967454
AP,2020-01-01,13,0.0902385552742313
AP,2020-02-01,14,0.07579027131404636
AP,2020-03-01,15,0.058777493030565786
AP,2020-04-01,16,0.06099977909899401
AP,2020-05-01,17,0.015113676980447188
AP,2020-06-01,18,0.031041742100934577
AP,2020-07-01,19,0.03694954750518331
AP,2020-08-01,20,0.07601249843318492
AP,2020-09-01,21,0.13368224880135582
AP,2020-10-01,22,0.13837263503376018
AP,2020-11-01,23,0.16317960282806077
BA,2016-05-01,-31,0.024154136977845297
BA,2016-06-01,-30,0.0015256431380770152
BA,2016-07-01,-29,-0.007054834054335046
BA,2016-08-01,-28,-0.004807236129193981
BA,2016-09-01,-27,-1.3365109612539783e-4
BA,2016-10-01,-26,0.022085235730022745
BA,2016-11-01,-25,-0.015459014003002203
BA,2016-12-01,-24,0.009276732049547931
BA,2017-01-01,-23,0.006076356534924443
BA,2017-02-01,-22,-0.014459714565213666
BA,2017-03-01,-21,-0.016573842852591447
BA,2017-04-01,-20,-0.016358733142944892
BA,2017-05-01,-19,0.02380230433944508
BA,2017-06-01,-18,-0.006929230398741382
BA,2017-07-01,-17,0.01638887565327618
BA,2017-08-01,-16,0.022246140009794857
BA,2017-09-01,-15,0.0062150152718354335
BA,2017-10-01,-14,0.005697094068179531
BA,2017-11-01,-13,-0.007127386468939179
BA,2017-12-01,-12,-7.495423314338723e-4
BA,2018-01-01,-11,-0.006997163069131673
BA,2018-02-01,-10,2.6522519906624353e-4
BA,2018-03-01,-9,-0.003407821231956376
BA,2018-04-01,-8,-0.01175551769103933
BA,2018-05-01,-7,0.0032599930409134004
BA,2018-06-01,-6,0.006162626592809417
BA,2018-07-01,-5,3.401195791594702e-4
BA,2018-08-01,-4,-0.005915571685795484
BA,2018-09-01,-3,-0.00816155882751346
BA,2018-10-01,-2,-0.007332520759361749
BA,2018-11-01,-1,0.011175881387300635
BA,2018-12-01,0,0.07772954833715406
BA,2019-01-01,1,0.07349679872852999
BA,2019-02-01,2,0.07979276389368284
BA,2019-03-01,3,0.11500337584148657
BA,2019-04-01,4,0.08557961250209889
BA,2019-05-01,5,0.11549670446963489
BA,2019-06-01,6,0.0845073555818292
BA,2019-07-01,7,0.09183067827366731
BA,2019-08-01,8,0.11101829231294946
BA,2019-09-01,9,0.09964784184425479
BA,2019-10-01,10,0.10326745131370618
BA,2019-11-01,11,0.10153369590153005
BA,2019-12-01,12,0.04306219507567999
BA,2020-01-01,13,0.08934665856790858
BA,2020-02-01,14,0.08224776840375192
BA,2020-03-01,15,0.07655563124111797
BA,2020-04-01,16,0.09376074079681196
BA,2020-05-01,17,0.088553776799972
BA,2020-06-01,18,0.10775100467387588
BA,2020-07-01,19,0.11252044939219985
BA,2020-08-01,20,0.10949268546913338
BA,2020-09-01,21,0.10291787858025891
BA,2020-10-01,22,0.10040628087480652
BA,2020-11-01,23,0.09998356488778182
CE,2016-05-01,-31,0.019229339266468415
CE,2016-06-01,-30,-0.004249970918434265
CE,2016-07-01,-29,-0.02374461932348826
CE,2016-08-01,-28,0.006217426792137104
CE,2016-09-01,-27,0.027142879752681814
CE,2016-10-01,-26,0.028665852692392413
CE,2016-11-01,-25,-0.03283299068880119
CE,2016-12-01,-24,-0.01772179683565689
CE,2017-01-01,-23,0.05064404129463451
CE,2017-02-01,-22,-0.005124961420086116
CE,2017-03-01,-21,-0.052273239386583015
CE,2017-04-01,-20,-0.032719496451755425
CE,2017-05-01,-19,0.019976567302409265
CE,2017-06-01,-18,0.014209306065728455
CE,2017-07-01,-17,-0.050453157868505016
CE,2017-08-01,-16,0.03103093033796611
CE,2017-09-01,-15,0.015294435022920716
CE,2017-10-01,-14,0.017134545881073215
CE,2017-11-01,-13,0.019560282884702573
CE,2017-12-01,-12,-0.005328078554449611
CE,2018-01-01,-11,0.018801773275789913
CE,2018-02-01,-10,0.013317446021750001
CE,2018-03-01,-9,0.011319699213933276
CE,2018-04-01,-8,-0.022566637510680998
CE,2018-05-01,-7,0.014865741054006065
CE,2018-06-01,-6,0.04777434631531996
CE,2018-07-01,-5,-0.03934699896935179
CE,2018-08-01,-4,-0.01673387196613696
CE,2018-09-01,-3,-0.02545317327120422
CE,2018-10-01,-2,0.007778349820397601
CE,2018-11-01,-1,0.004154918208993941
CE,2018-12-01,0,-0.0344175378324989
CE,2019-01-01,1,-0.036732091040579284
CE,2019-02-01,2,-0.041292936381842615
CE,2019-03-01,3,-0.049007305062455764
CE,2019-04-01,4,-0.05074335006542263
CE,2019-05-01,5,-0.04889790896615498
CE,2019-06-01,6,-0.05399959948965538
CE,2019-07-01,7,-0.054397859075307586
CE,2019-08-01,8,-0.06293020191839993
CE,2019-09-01,9,-0.04821279259439315
CE,2019-10-01,10,-0.055974082138996906
CE,2019-11-01,11,-0.05726896770898371
CE,2019-12-01,12,-0.0431793311136035
CE,2020-01-01,13,-0.05990788480147646
CE,2020-02-01,14,-0.05370726818428473
CE,2020-03-01,15,-0.07473720377465476
CE,2020-04-01,16,-0.09815054722752681
CE,2020-05-01,17,-0.12188693950630292
CE,2020-06-01,18,-0.1322960324881235
CE,2020-07-01,19,-0.13827490917663354
CE,2020-08-01,20,-0.14676397092333726
CE,2020-09-01,21,-0.13257969760662114
CE,2020-10-01,22,-0.09688273119637891
CE,2020-11-01,23,-0.06044162895949068
DF,2016-05-01,-31,0.011096465737312933
DF,2016-06-01,-30,0.028731138107158216
DF,2016-07-01,-29,0.07325988637168201
DF,2016-08-01,-28,0.03676755326189429
DF,2016-09-01,-27,0.015032307459759586
DF,2016-10-01,-26,0.09028402127275292
DF,2016-11-01,-25,0.018761347399717465
DF,2016-12-01,-24,-0.017813774801147098
DF,2017-01-01,-23,-0.07296157158787686
DF,2017-02-01,-22,-0.04941640809569936
DF,2017-03-01,-21,0.02360520449578818
DF,2017-04-01,-20,-0.056481652864336596
DF,2017-05-01,-19,0.02763187265457656
DF,2017-06-01,-18,-0.01123456276114343
