Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.52,4.52,0.01,31
Emprego formal 6m (per 1k),3.19,3.18,2.66,31
ICMS CONFAZ 6m pc (log),7.38,7.39,0.01,31
