Outcome,Rank,p (classico)
Varejo MA6 (log),7 / 22,0.318181818181818
Emprego formal 6m (per 1k),20 / 22,0.909090909090909
ICMS CONFAZ 6m pc (log),5 / 22,0.227272727272727
