Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),-0.04,-0.04,-0.04,-0.02
Emprego formal 6m (per 1k),3.98,2.20,1.62,0.85
ICMS CONFAZ 6m pc (log),-0.03,-0.07,-0.04,0.01
