outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,4.419490812737843,21,7,22,0.3181818181818182
formal_hiring_6m_per1k,0.7691737511722075,21,20,22,0.9090909090909091
icms_conf6m_pc_log,6.388021253074003,21,5,22,0.22727272727272727
