outcome,short,channel,transform,gap_post,effect_label,mag_sd,persistence,pre_trend_p,pre_fit_corr,pre_fit_r2,poor_fit,inspace_rank,inspace_n_units,inspace_p,loo_rank,loo_p,loo_frac,tier,considerable
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.018326292936847007,-4.1%,0.33400780592842966,0.6842105263157895,0.4889126976925543,0.9878816894850033,0.9766685684522957,FALSE,7/22,22,0.3181818181818182,1/22,0.045,0,weak,FALSE
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,0.8477588746134882,+2.2,0.10906443358851942,0.631578947368421,0.884425651016933,0.9495326850644499,0.883331862904504,FALSE,20/22,22,0.9090909090909092,1/22,0.045,1,weak,FALSE
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.01335771184249369,-6.8%,0.1931469695346185,0.5263157894736842,0.8387685528203023,0.9769529298080198,0.9536135804690336,FALSE,5/22,22,0.2272727272727273,1/22,0.045,1,weak,FALSE
