Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),-0.018,1 / 22,0.045
Emprego formal 6m (per 1k),0.848,1 / 22,0.045
ICMS CONFAZ 6m pc (log),0.013,1 / 22,0.045
