Channel,Outcome,Mean gap (w6m),RMSPE pre,Donors
Household consumption,"Retail volume, MA6 trailing, log",-0.04,0.01,21
Formal labor market,"Net formal hiring, 6m sum, per 1,000 residents", 2.20,2.66,21
State public finances,"ICMS CONFAZ per capita, 6m sum, log BRL/resident",-0.07,0.01,21
