competencia,n_ufs,total_balance
200701,27,105468
200702,27,148019
200703,27,146141
200704,27,301991
200705,27,212217
200706,27,181667
200707,27,126992
200708,27,133329
200709,27,251168
200710,27,205260
200711,27,124554
200712,27,-319414
200801,27,142921
200802,27,204963
200803,27,206556
200804,27,294522
200805,27,202984
200806,27,309442
200807,27,203218
200808,27,239122
200809,27,282841
200810,27,61401
200811,27,-40821
200812,27,-654946
200901,27,-101748
200902,27,9179
200903,27,34818
200904,27,106205
200905,27,131557
200906,27,119496
200907,27,138402
200908,27,242126
200909,27,252617
200910,27,230956
200911,27,246695
200912,27,-415192
201001,27,181419
201002,27,209425
201003,27,266415
201004,27,305068
201005,27,298041
201006,27,212952
201007,27,181796
201008,27,299415
201009,27,246875
201010,27,204804
201011,27,138247
201012,27,-407518
201101,27,152091
201102,27,280799
201103,27,92675
201104,27,272225
201105,27,252067
201106,27,215393
201107,27,140563
201108,27,190446
201109,27,209078
201110,27,126143
201111,27,42735
201112,27,-408172
201201,27,118895
201202,27,150600
201203,27,111746
201204,27,216974
201205,27,139679
201206,27,120440
201207,27,142496
201208,27,100938
201209,27,150334
201210,27,66988
201211,27,46095
201212,27,-496944
201301,27,28900
201302,27,123446
201303,27,112450
201304,27,196913
201305,27,72028
201306,27,123836
201307,27,41463
201308,27,127648
201309,27,211068
201310,27,94893
201311,27,47486
201312,27,-449444
201401,27,29595
201402,27,260823
201403,27,13117
201404,27,105384
201405,27,58836
201406,27,25363
201407,27,11796
201408,27,101425
201409,27,123785
201410,27,-30283
201411,27,8381
201412,27,-555508
201501,27,-81774
201502,27,-2415
201503,27,19282
201504,27,-97828
201505,27,-115599
201506,27,-111199
201507,27,-157905
201508,27,-86543
201509,27,-95602
201510,27,-169131
201511,27,-130629
201512,27,-596208
201601,27,-99694
201602,27,-104582
201603,27,-118776
201604,27,-62844
201605,27,-72615
201606,27,-91032
201607,27,-94724
201608,27,-33953
201609,27,-39282
201610,27,-74748
201611,27,-116747
201612,27,-462366
201701,27,-40864
201702,27,35612
201703,27,-63624
201704,27,59856
201705,27,34253
201706,27,9821
201707,27,35900
201708,27,35457
201709,27,34392
201710,27,76599
201711,27,-12292
201712,27,-328539
201801,27,77822
201802,27,61188
201803,27,56151
201804,27,115898
201805,27,33659
201806,27,-661
201807,27,47319
201808,27,110431
201809,27,137336
201810,27,57733
201811,27,58664
201812,27,-334462
201901,27,34313
201902,27,173139
201903,27,-43196
201904,27,129601
201905,27,32140
201906,27,48436
201907,27,43820
201908,27,121387
201909,27,157213
201910,27,70852
201911,27,99232
201912,27,-307311
