"file","size_bytes","test_exit_code","integrity_status","diagnostic"
"CAGEDEST_082013.7z","33519842","0","ok","Everything is Ok"
"CAGEDEST_082014.7z","32149937","0","ok","Everything is Ok"
"CAGEDEST_082015.7z","27936687","0","ok","Everything is Ok"
"CAGEDEST_082016.7z","24850612","0","ok","Everything is Ok"
"CAGEDEST_082017.7z","24527501","0","ok","Everything is Ok"
"CAGEDEST_082018.7z","24517986","0","ok","Everything is Ok"
"CAGEDEST_082019.7z","25095626","2","failed","ERROR: Data Error : CAGEDEST_082019.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_092007.7z","21839287","0","ok","Everything is Ok"
"CAGEDEST_092008.7z","28006680","0","ok","Everything is Ok"
"CAGEDEST_092009.7z","24974505","0","ok","Everything is Ok"
"CAGEDEST_092010.7z","29572594","0","ok","Everything is Ok"
"CAGEDEST_092011.7z","30685578","0","ok","Everything is Ok"
"CAGEDEST_092012.7z","29605141","0","ok","Everything is Ok"
"CAGEDEST_092013.7z","31674305","0","ok","Everything is Ok"
"CAGEDEST_092014.7z","32314499","2","failed","ERROR: Data Error : CAGEDEST_092014.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_092015.7z","26745694","0","ok","Everything is Ok"
"CAGEDEST_092016.7z","23577187","0","ok","Everything is Ok"
"CAGEDEST_092017.7z","21269147","0","ok","Everything is Ok"
"CAGEDEST_092018.7z","21994851","0","ok","Everything is Ok"
"CAGEDEST_092019.7z","23878873","2","failed","ERROR: Data Error : CAGEDEST_092019.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102007.7z","23488912","0","ok","Everything is Ok"
"CAGEDEST_102008.7z","28449606","0","ok","Everything is Ok"
"CAGEDEST_102009.7z","24364243","2","failed","ERROR: Data Error : CAGEDEST_102009.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102010.7z","28729992","2","failed","ERROR: Data Error : CAGEDEST_102010.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102011.7z","27247307","0","ok","Everything is Ok"
"CAGEDEST_102012.7z","31141931","2","failed","ERROR: Data Error : CAGEDEST_102012.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102013.7z","30844627","2","failed","ERROR: Data Error : CAGEDEST_102013.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_102014.7z","30193586","0","ok","Everything is Ok"
"CAGEDEST_102015.7z","24340724","0","ok","Everything is Ok"
"CAGEDEST_102016.7z","22516557","0","ok","Everything is Ok"
"CAGEDEST_102017.7z","23293850","0","ok","Everything is Ok"
"CAGEDEST_102018.7z","23548359","0","ok","Everything is Ok"
"CAGEDEST_102019.7z","25033364","0","ok","Everything is Ok"
"CAGEDEST_112007.7z","22070263","0","ok","Everything is Ok"
"CAGEDEST_112008.7z","26032747","0","ok","Everything is Ok"
"CAGEDEST_112009.7z","23662948","2","failed","ERROR: Data Error : CAGEDEST_112009.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_112010.7z","28408833","0","ok","Everything is Ok"
"CAGEDEST_112011.7z","29411373","0","ok","Everything is Ok"
"CAGEDEST_112012.7z","29747621","0","ok","Everything is Ok"
"CAGEDEST_112013.7z","29844199","0","ok","Everything is Ok"
"CAGEDEST_112014.7z","30514993","0","ok","Everything is Ok"
"CAGEDEST_112015.7z","24989313","2","failed","ERROR: Data Error : CAGEDEST_112015.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_112016.7z","22774508","0","ok","Everything is Ok"
"CAGEDEST_112017.7z","20917215","0","ok","Everything is Ok"
"CAGEDEST_112018.7z","21772924","0","ok","Everything is Ok"
"CAGEDEST_112019.7z","21302010","0","ok","Everything is Ok"
"CAGEDEST_122007.7z","20526980","0","ok","Everything is Ok"
"CAGEDEST_122008.7z","23889720","0","ok","Everything is Ok"
"CAGEDEST_122009.7z","22862044","0","ok","Everything is Ok"
"CAGEDEST_122010.7z","25716416","2","failed","ERROR: Data Error : CAGEDEST_122010.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_122011.7z","27723001","0","ok","Everything is Ok"
"CAGEDEST_122012.7z","26906705","0","ok","Everything is Ok"
"CAGEDEST_122013.7z","24692866","0","ok","Everything is Ok"
"CAGEDEST_122014.7z","27529027","2","failed","ERROR: Data Error : CAGEDEST_122014.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_122015.7z","24028348","0","ok","Everything is Ok"
"CAGEDEST_122016.7z","21319564","0","ok","Everything is Ok"
"CAGEDEST_122017.7z","19838273","2","failed","ERROR: Data Error : CAGEDEST_122017.txt | Sub items Errors: 1 | Archives with Errors: 1 | Sub items Errors: 1"
"CAGEDEST_122018.7z","20861969","0","ok","Everything is Ok"
"CAGEDEST_122019.7z","19584290","0","ok","Everything is Ok"
