competencia,uf,formal_hiring_balance,year,month,source_series
200601,11,7,2006,01,old_caged_adjusted
200601,12,4,2006,01,old_caged_adjusted
200601,13,28,2006,01,old_caged_adjusted
200601,14,11,2006,01,old_caged_adjusted
200601,15,-9,2006,01,old_caged_adjusted
200601,16,20,2006,01,old_caged_adjusted
200601,17,13,2006,01,old_caged_adjusted
200601,21,15,2006,01,old_caged_adjusted
200601,22,12,2006,01,old_caged_adjusted
200601,23,63,2006,01,old_caged_adjusted
200601,24,16,2006,01,old_caged_adjusted
200601,25,11,2006,01,old_caged_adjusted
200601,26,40,2006,01,old_caged_adjusted
200601,27,30,2006,01,old_caged_adjusted
200601,28,19,2006,01,old_caged_adjusted
200601,29,97,2006,01,old_caged_adjusted
200601,31,64,2006,01,old_caged_adjusted
200601,32,2,2006,01,old_caged_adjusted
200601,33,-38,2006,01,old_caged_adjusted
200601,35,228,2006,01,old_caged_adjusted
200601,41,45,2006,01,old_caged_adjusted
200601,42,40,2006,01,old_caged_adjusted
200601,43,67,2006,01,old_caged_adjusted
200601,50,13,2006,01,old_caged_adjusted
200601,51,54,2006,01,old_caged_adjusted
200601,52,-93,2006,01,old_caged_adjusted
200601,53,4,2006,01,old_caged_adjusted
200602,11,87,2006,02,old_caged_adjusted
200602,12,26,2006,02,old_caged_adjusted
200602,13,110,2006,02,old_caged_adjusted
200602,14,26,2006,02,old_caged_adjusted
200602,15,49,2006,02,old_caged_adjusted
200602,16,7,2006,02,old_caged_adjusted
200602,17,9,2006,02,old_caged_adjusted
200602,21,19,2006,02,old_caged_adjusted
200602,22,18,2006,02,old_caged_adjusted
200602,23,85,2006,02,old_caged_adjusted
200602,24,20,2006,02,old_caged_adjusted
200602,25,-2,2006,02,old_caged_adjusted
200602,26,181,2006,02,old_caged_adjusted
200602,27,34,2006,02,old_caged_adjusted
200602,28,4,2006,02,old_caged_adjusted
200602,29,146,2006,02,old_caged_adjusted
200602,31,97,2006,02,old_caged_adjusted
200602,32,18,2006,02,old_caged_adjusted
200602,33,277,2006,02,old_caged_adjusted
200602,35,250,2006,02,old_caged_adjusted
200602,41,55,2006,02,old_caged_adjusted
200602,42,3,2006,02,old_caged_adjusted
200602,43,38,2006,02,old_caged_adjusted
200602,50,35,2006,02,old_caged_adjusted
200602,51,38,2006,02,old_caged_adjusted
200602,52,184,2006,02,old_caged_adjusted
200602,53,62,2006,02,old_caged_adjusted
200603,11,23,2006,03,old_caged_adjusted
200603,12,7,2006,03,old_caged_adjusted
200603,13,153,2006,03,old_caged_adjusted
200603,14,0,2006,03,old_caged_adjusted
200603,15,125,2006,03,old_caged_adjusted
200603,16,16,2006,03,old_caged_adjusted
200603,17,23,2006,03,old_caged_adjusted
200603,21,133,2006,03,old_caged_adjusted
200603,22,39,2006,03,old_caged_adjusted
200603,23,74,2006,03,old_caged_adjusted
200603,24,22,2006,03,old_caged_adjusted
200603,25,13,2006,03,old_caged_adjusted
200603,26,102,2006,03,old_caged_adjusted
200603,27,54,2006,03,old_caged_adjusted
200603,28,21,2006,03,old_caged_adjusted
200603,29,116,2006,03,old_caged_adjusted
200603,31,97,2006,03,old_caged_adjusted
200603,32,33,2006,03,old_caged_adjusted
200603,33,82,2006,03,old_caged_adjusted
200603,35,372,2006,03,old_caged_adjusted
200603,41,122,2006,03,old_caged_adjusted
200603,42,29,2006,03,old_caged_adjusted
200603,43,97,2006,03,old_caged_adjusted
200603,50,70,2006,03,old_caged_adjusted
200603,51,93,2006,03,old_caged_adjusted
200603,52,178,2006,03,old_caged_adjusted
200603,53,49,2006,03,old_caged_adjusted
200604,11,40,2006,04,old_caged_adjusted
200604,12,88,2006,04,old_caged_adjusted
200604,13,188,2006,04,old_caged_adjusted
200604,14,16,2006,04,old_caged_adjusted
200604,15,179,2006,04,old_caged_adjusted
200604,16,35,2006,04,old_caged_adjusted
200604,17,50,2006,04,old_caged_adjusted
200604,21,170,2006,04,old_caged_adjusted
200604,22,58,2006,04,old_caged_adjusted
200604,23,108,2006,04,old_caged_adjusted
200604,24,55,2006,04,old_caged_adjusted
200604,25,41,2006,04,old_caged_adjusted
200604,26,253,2006,04,old_caged_adjusted
200604,27,69,2006,04,old_caged_adjusted
200604,28,31,2006,04,old_caged_adjusted
200604,29,291,2006,04,old_caged_adjusted
200604,31,251,2006,04,old_caged_adjusted
200604,32,42,2006,04,old_caged_adjusted
200604,33,118,2006,04,old_caged_adjusted
200604,35,934,2006,04,old_caged_adjusted
200604,41,-67,2006,04,old_caged_adjusted
200604,42,12,2006,04,old_caged_adjusted
200604,43,89,2006,04,old_caged_adjusted
200604,50,48,2006,04,old_caged_adjusted
200604,51,297,2006,04,old_caged_adjusted
200604,52,131,2006,04,old_caged_adjusted
200604,53,7,2006,04,old_caged_adjusted
200605,11,16,2006,05,old_caged_adjusted
200605,12,25,2006,05,old_caged_adjusted
200605,13,215,2006,05,old_caged_adjusted
200605,14,26,2006,05,old_caged_adjusted
200605,15,285,2006,05,old_caged_adjusted
200605,16,8,2006,05,old_caged_adjusted
200605,17,40,2006,05,old_caged_adjusted
200605,21,221,2006,05,old_caged_adjusted
200605,22,97,2006,05,old_caged_adjusted
200605,23,622,2006,05,old_caged_adjusted
200605,24,130,2006,05,old_caged_adjusted
200605,25,60,2006,05,old_caged_adjusted
200605,26,202,2006,05,old_caged_adjusted
200605,27,95,2006,05,old_caged_adjusted
200605,28,28,2006,05,old_caged_adjusted
200605,29,558,2006,05,old_caged_adjusted
200605,31,693,2006,05,old_caged_adjusted
200605,32,25,2006,05,old_caged_adjusted
200605,33,193,2006,05,old_caged_adjusted
200605,35,581,2006,05,old_caged_adjusted
200605,41,875,2006,05,old_caged_adjusted
200605,42,68,2006,05,old_caged_adjusted
200605,43,94,2006,05,old_caged_adjusted
200605,50,101,2006,05,old_caged_adjusted
200605,51,78,2006,05,old_caged_adjusted
200605,52,95,2006,05,old_caged_adjusted
200605,53,109,2006,05,old_caged_adjusted
200606,11,4,2006,06,old_caged_adjusted
200606,12,30,2006,06,old_caged_adjusted
200606,13,254,2006,06,old_caged_adjusted
200606,14,11,2006,06,old_caged_adjusted
200606,15,307,2006,06,old_caged_adjusted
200606,16,62,2006,06,old_caged_adjusted
200606,17,23,2006,06,old_caged_adjusted
200606,21,174,2006,06,old_caged_adjusted
200606,22,166,2006,06,old_caged_adjusted
200606,23,45,2006,06,old_caged_adjusted
200606,24,90,2006,06,old_caged_adjusted
200606,25,57,2006,06,old_caged_adjusted
200606,26,190,2006,06,old_caged_adjusted
200606,27,173,2006,06,old_caged_adjusted
200606,28,30,2006,06,old_caged_adjusted
200606,29,395,2006,06,old_caged_adjusted
200606,31,407,2006,06,old_caged_adjusted
200606,32,2,2006,06,old_caged_adjusted
200606,33,142,2006,06,old_caged_adjusted
200606,35,715,2006,06,old_caged_adjusted
200606,41,214,2006,06,old_caged_adjusted
200606,42,73,2006,06,old_caged_adjusted
200606,43,135,2006,06,old_caged_adjusted
200606,50,64,2006,06,old_caged_adjusted
200606,51,208,2006,06,old_caged_adjusted
200606,52,285,2006,06,old_caged_adjusted
200606,53,1280,2006,06,old_caged_adjusted
200607,11,70,2006,07,old_caged_adjusted
200607,12,272,2006,07,old_caged_adjusted
200607,13,227,2006,07,old_caged_adjusted
200607,14,2,2006,07,old_caged_adjusted
200607,15,351,2006,07,old_caged_adjusted
200607,16,36,2006,07,old_caged_adjusted
200607,17,120,2006,07,old_caged_adjusted
200607,21,749,2006,07,old_caged_adjusted
200607,22,110,2006,07,old_caged_adjusted
200607,23,203,2006,07,old_caged_adjusted
200607,24,56,2006,07,old_caged_adjusted
200607,25,134,2006,07,old_caged_adjusted
200607,26,343,2006,07,old_caged_adjusted
200607,27,221,2006,07,old_caged_adjusted
200607,28,121,2006,07,old_caged_adjusted
200607,29,1570,2006,07,old_caged_adjusted
200607,31,366,2006,07,old_caged_adjusted
200607,32,38,2006,07,old_caged_adjusted
200607,33,203,2006,07,old_caged_adjusted
200607,35,984,2006,07,old_caged_adjusted
200607,41,393,2006,07,old_caged_adjusted
200607,42,89,2006,07,old_caged_adjusted
200607,43,356,2006,07,old_caged_adjusted
200607,50,90,2006,07,old_caged_adjusted
200607,51,249,2006,07,old_caged_adjusted
200607,52,257,2006,07,old_caged_adjusted
200607,53,160,2006,07,old_caged_adjusted
200608,11,88,2006,08,old_caged_adjusted
200608,12,69,2006,08,old_caged_adjusted
200608,13,293,2006,08,old_caged_adjusted
200608,14,2,2006,08,old_caged_adjusted
200608,15,697,2006,08,old_caged_adjusted
200608,16,38,2006,08,old_caged_adjusted
200608,17,128,2006,08,old_caged_adjusted
200608,21,868,2006,08,old_caged_adjusted
200608,22,192,2006,08,old_caged_adjusted
200608,23,193,2006,08,old_caged_adjusted
200608,24,154,2006,08,old_caged_adjusted
200608,25,224,2006,08,old_caged_adjusted
200608,26,561,2006,08,old_caged_adjusted
200608,27,221,2006,08,old_caged_adjusted
200608,28,79,2006,08,old_caged_adjusted
200608,29,1270,2006,08,old_caged_adjusted
200608,31,-47,2006,08,old_caged_adjusted
200608,32,116,2006,08,old_caged_adjusted
200608,33,453,2006,08,old_caged_adjusted
200608,35,1303,2006,08,old_caged_adjusted
200608,41,241,2006,08,old_caged_adjusted
200608,42,172,2006,08,old_caged_adjusted
200608,43,251,2006,08,old_caged_adjusted
200608,50,90,2006,08,old_caged_adjusted
200608,51,182,2006,08,old_caged_adjusted
200608,52,276,2006,08,old_caged_adjusted
200608,53,281,2006,08,old_caged_adjusted
200609,11,119,2006,09,old_caged_adjusted
200609,12,32,2006,09,old_caged_adjusted
200609,13,665,2006,09,old_caged_adjusted
200609,14,9,2006,09,old_caged_adjusted
200609,15,743,2006,09,old_caged_adjusted
200609,16,150,2006,09,old_caged_adjusted
200609,17,148,2006,09,old_caged_adjusted
200609,21,497,2006,09,old_caged_adjusted
200609,22,141,2006,09,old_caged_adjusted
200609,23,233,2006,09,old_caged_adjusted
200609,24,280,2006,09,old_caged_adjusted
200609,25,260,2006,09,old_caged_adjusted
200609,26,2298,2006,09,old_caged_adjusted
200609,27,781,2006,09,old_caged_adjusted
200609,28,93,2006,09,old_caged_adjusted
200609,29,763,2006,09,old_caged_adjusted
200609,31,346,2006,09,old_caged_adjusted
200609,32,110,2006,09,old_caged_adjusted
200609,33,851,2006,09,old_caged_adjusted
200609,35,1146,2006,09,old_caged_adjusted
200609,41,123,2006,09,old_caged_adjusted
200609,42,341,2006,09,old_caged_adjusted
200609,43,343,2006,09,old_caged_adjusted
200609,50,54,2006,09,old_caged_adjusted
200609,51,409,2006,09,old_caged_adjusted
200609,52,404,2006,09,old_caged_adjusted
200609,53,324,2006,09,old_caged_adjusted
200610,11,181,2006,10,old_caged_adjusted
200610,12,72,2006,10,old_caged_adjusted
200610,13,931,2006,10,old_caged_adjusted
200610,14,56,2006,10,old_caged_adjusted
200610,15,923,2006,10,old_caged_adjusted
200610,16,100,2006,10,old_caged_adjusted
