competencia,year,month,uf,formal_hiring_balance,salvaged_records,source_series,source_archive
200805,2008,05,00,3,1,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,11,129,15489,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,12,816,3414,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,13,2041,28573,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,14,-299,2125,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,15,2050,41942,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,16,214,3276,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,17,1335,9859,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,21,1705,21227,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,22,1910,10430,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,23,3510,50844,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,24,851,23385,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,25,632,13726,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,26,4361,55745,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,27,-7645,20085,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,28,174,13916,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,29,13619,100579,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,31,37968,326842,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,32,11004,71642,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,33,16195,205805,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200805,2008,05,35,5657,91939,old_caged_complete_salvaged_partial,CAGEDEST_052008.7z
200808,2008,08,11,1362,16230,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,12,346,3362,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,13,4634,32780,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,14,-72,2056,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,15,5939,49629,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,16,384,4428,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,17,351,9745,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,21,4815,24515,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,22,2118,12506,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,23,9947,57273,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,24,7160,31476,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,25,8191,22427,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,26,13367,65683,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,27,1506,14520,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,28,2414,14072,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,29,4793,103319,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
200808,2008,08,31,19770,352560,old_caged_complete_salvaged_partial,CAGEDEST_082008.7z
