series_block,source_type,frequency,source_url,target_path,status,notes
new_caged_2025_01,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202501/CAGEDMOV202501.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202501.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202501/
new_caged_2025_02,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202502/CAGEDMOV202502.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202502.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202502/
new_caged_2025_03,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202503/CAGEDMOV202503.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202503.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202503/
new_caged_2025_04,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202504/CAGEDMOV202504.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202504.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202504/
new_caged_2025_05,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202505/CAGEDMOV202505.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202505.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202505/
new_caged_2025_06,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202506/CAGEDMOV202506.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202506.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202506/
new_caged_2025_07,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202507/CAGEDMOV202507.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202507.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202507/
new_caged_2025_08,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202508/CAGEDMOV202508.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202508.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202508/
new_caged_2025_09,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202509/CAGEDMOV202509.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202509.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202509/
new_caged_2025_10,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202510/CAGEDMOV202510.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202510.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202510/
new_caged_2025_11,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202511/CAGEDMOV202511.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202511.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202511/
new_caged_2025_12,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202512/CAGEDMOV202512.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202512.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2025/202512/
new_caged_2026_01,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2026/202601/CAGEDMOV202601.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202601.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2026/202601/
new_caged_2026_02,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2026/202602/CAGEDMOV202602.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202602.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2026/202602/
new_caged_2026_03,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2026/202603/CAGEDMOV202603.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202603.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2026/202603/
