Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,89.47,89.44,3.59,36
Services volume,84.06,84.11,2.41,36
Formal hiring,35.31,27.88,104.63,36
Construction,2.09,2.36,7.76,36
ICMS,6.10,6.12,0.08,24
Tax revenue,6.35,6.40,0.10,24
Public investment,3.71,3.73,0.47,24
Total expenditure,6.80,6.84,0.18,24
