Covariate,Treated,Retail volume,Services volume,Formal hiring,Construction,ICMS,Tax revenue,Public investment,Total expenditure
Unemployment rate,    0.051,    0.070,    0.076,    0.070,    0.078,    0.070,    0.071,    0.070,    0.075
Formalization rate,    0.731,    0.660,    0.655,    0.638,    0.643,    0.646,    0.650,    0.655,    0.647
Labor income (real),"3,573.200","3,497.172","3,535.816","3,425.896","3,473.313","3,391.550","3,423.704","3,466.357","3,422.662"
Transfer dependency ratio,    0.046,    0.059,    0.058,    0.066,    0.071,    0.061,    0.063,    0.058,    0.063
Health expenditure pc,  111.891,  116.345,  114.064,  111.800,  118.540,  102.244,  111.053,  102.062,  118.285
Education expenditure pc,  116.595,  134.781,  144.631,  196.760,  156.401,  176.985,  145.265,  194.206,  159.568
Public security expenditure pc,   80.820,   94.666,   98.575,  117.984,   97.027,  100.189,   97.166,   92.154,   90.525
