donor_state,scm_weight
PI,0.5623199558911505
RN,0.2043569548637328
AL,0.19027713502988539
AM,0.024475982248778682
RJ,0.018569971964461467
ES,5.876256745967802e-13
GO,5.605755846504367e-13
SC,4.126854901023874e-13
RS,2.616859374513897e-13
MS,1.6861380326586963e-13
SE,1.4275151735894713e-17
AP,0
BA,0
CE,0
MG,0
MT,0
PA,0
PE,0
PR,0
RO,0
RR,0
SP,0
