nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,mes_codigo,mes,downloaded_at
1,Brasil,30,Número-índice,8.68097e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198305,maio 1983,2026-05-13
1,Brasil,30,Número-índice,9.53868e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198306,junho 1983,2026-05-13
1,Brasil,30,Número-índice,1.050003e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198307,julho 1983,2026-05-13
1,Brasil,30,Número-índice,1.145671e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198308,agosto 1983,2026-05-13
1,Brasil,30,Número-índice,1.263682e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198309,setembro 1983,2026-05-13
1,Brasil,30,Número-índice,1.375727e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198310,outubro 1983,2026-05-13
1,Brasil,30,Número-índice,1.477314e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198311,novembro 1983,2026-05-13
1,Brasil,30,Número-índice,1.605502e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198312,dezembro 1983,2026-05-13
1,Brasil,30,Número-índice,1.760737e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198401,janeiro 1984,2026-05-13
1,Brasil,30,Número-índice,1.92802e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198402,fevereiro 1984,2026-05-13
1,Brasil,30,Número-índice,2.100357e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198403,março 1984,2026-05-13
1,Brasil,30,Número-índice,2.300794e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198404,abril 1984,2026-05-13
1,Brasil,30,Número-índice,2.509021e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198405,maio 1984,2026-05-13
1,Brasil,30,Número-índice,2.761935e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198406,junho 1984,2026-05-13
1,Brasil,30,Número-índice,3.030524e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198407,julho 1984,2026-05-13
1,Brasil,30,Número-índice,3.313854e-7,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198408,agosto 1984,2026-05-13
