nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,mes_codigo,mes,tipos_de_indice_codigo,tipos_de_indice,downloaded_at
3,Unidade da Federação,30,Número-índice,66.03852,11,Rondônia,7167,PMS - Número-índice (2022=100),201101,janeiro 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,100.75676,11,Rondônia,7167,PMS - Número-índice (2022=100),201101,janeiro 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,65.76326,11,Rondônia,7167,PMS - Número-índice (2022=100),201102,fevereiro 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,101.40366,11,Rondônia,7167,PMS - Número-índice (2022=100),201102,fevereiro 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,74.06417,11,Rondônia,7167,PMS - Número-índice (2022=100),201103,março 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,111.57613,11,Rondônia,7167,PMS - Número-índice (2022=100),201103,março 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,71.73533,11,Rondônia,7167,PMS - Número-índice (2022=100),201104,abril 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,108.76764,11,Rondônia,7167,PMS - Número-índice (2022=100),201104,abril 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,75.15095,11,Rondônia,7167,PMS - Número-índice (2022=100),201105,maio 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,114.19158,11,Rondônia,7167,PMS - Número-índice (2022=100),201105,maio 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,73.54836,11,Rondônia,7167,PMS - Número-índice (2022=100),201106,junho 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,110.00558,11,Rondônia,7167,PMS - Número-índice (2022=100),201106,junho 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,75.1873,11,Rondônia,7167,PMS - Número-índice (2022=100),201107,julho 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,111.71876,11,Rondônia,7167,PMS - Número-índice (2022=100),201107,julho 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,73.82269,11,Rondônia,7167,PMS - Número-índice (2022=100),201108,agosto 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,110.35188,11,Rondônia,7167,PMS - Número-índice (2022=100),201108,agosto 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,72.18378,11,Rondônia,7167,PMS - Número-índice (2022=100),201109,setembro 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,105.63255,11,Rondônia,7167,PMS - Número-índice (2022=100),201109,setembro 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,72.87498,11,Rondônia,7167,PMS - Número-índice (2022=100),201110,outubro 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,105.38063,11,Rondônia,7167,PMS - Número-índice (2022=100),201110,outubro 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,77.88288,11,Rondônia,7167,PMS - Número-índice (2022=100),201111,novembro 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,111.98373,11,Rondônia,7167,PMS - Número-índice (2022=100),201111,novembro 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,86.80043,11,Rondônia,7167,PMS - Número-índice (2022=100),201112,dezembro 2011,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,124.3904,11,Rondônia,7167,PMS - Número-índice (2022=100),201112,dezembro 2011,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,78.24055,11,Rondônia,7167,PMS - Número-índice (2022=100),201201,janeiro 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,111.11151,11,Rondônia,7167,PMS - Número-índice (2022=100),201201,janeiro 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,77.31111,11,Rondônia,7167,PMS - Número-índice (2022=100),201202,fevereiro 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,110.25888,11,Rondônia,7167,PMS - Número-índice (2022=100),201202,fevereiro 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,85.7831,11,Rondônia,7167,PMS - Número-índice (2022=100),201203,março 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,122.53303,11,Rondônia,7167,PMS - Número-índice (2022=100),201203,março 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,81.85208,11,Rondônia,7167,PMS - Número-índice (2022=100),201204,abril 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,116.37138,11,Rondônia,7167,PMS - Número-índice (2022=100),201204,abril 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,81.09954,11,Rondônia,7167,PMS - Número-índice (2022=100),201205,maio 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,117.51674,11,Rondônia,7167,PMS - Número-índice (2022=100),201205,maio 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,78.94036,11,Rondônia,7167,PMS - Número-índice (2022=100),201206,junho 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,114.12037,11,Rondônia,7167,PMS - Número-índice (2022=100),201206,junho 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,79.85049,11,Rondônia,7167,PMS - Número-índice (2022=100),201207,julho 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,111.77499,11,Rondônia,7167,PMS - Número-índice (2022=100),201207,julho 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,78.26461,11,Rondônia,7167,PMS - Número-índice (2022=100),201208,agosto 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,110.61145,11,Rondônia,7167,PMS - Número-índice (2022=100),201208,agosto 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,75.73241,11,Rondônia,7167,PMS - Número-índice (2022=100),201209,setembro 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,105.92574,11,Rondônia,7167,PMS - Número-índice (2022=100),201209,setembro 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,81.86508,11,Rondônia,7167,PMS - Número-índice (2022=100),201210,outubro 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,114.38162,11,Rondônia,7167,PMS - Número-índice (2022=100),201210,outubro 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,95.66872,11,Rondônia,7167,PMS - Número-índice (2022=100),201211,novembro 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,132.19962,11,Rondônia,7167,PMS - Número-índice (2022=100),201211,novembro 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,92.36621,11,Rondônia,7167,PMS - Número-índice (2022=100),201212,dezembro 2012,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,125.12637,11,Rondônia,7167,PMS - Número-índice (2022=100),201212,dezembro 2012,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,89.20862,11,Rondônia,7167,PMS - Número-índice (2022=100),201301,janeiro 2013,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,120.60547,11,Rondônia,7167,PMS - Número-índice (2022=100),201301,janeiro 2013,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,81.61858,11,Rondônia,7167,PMS - Número-índice (2022=100),201302,fevereiro 2013,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,109.85892,11,Rondônia,7167,PMS - Número-índice (2022=100),201302,fevereiro 2013,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,88.42156,11,Rondônia,7167,PMS - Número-índice (2022=100),201303,março 2013,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,119.74077,11,Rondônia,7167,PMS - Número-índice (2022=100),201303,março 2013,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,85.75223,11,Rondônia,7167,PMS - Número-índice (2022=100),201304,abril 2013,56725,Índice de receita nominal de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,117.66225,11,Rondônia,7167,PMS - Número-índice (2022=100),201304,abril 2013,56726,Índice de volume de serviços,2026-05-13
3,Unidade da Federação,30,Número-índice,88.63744,11,Rondônia,7167,PMS - Número-índice (2022=100),201305,maio 2013,56725,Índice de receita nominal de serviços,2026-05-13
