nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,mes_codigo,mes,tipos_de_indice_codigo,tipos_de_indice,downloaded_at
3,Unidade da Federação,30,Número-índice,8.52729,11,Rondônia,7169,PMC - Número-índice (2022=100),200001,janeiro 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,24.71823,11,Rondônia,7169,PMC - Número-índice (2022=100),200001,janeiro 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,8.95366,11,Rondônia,7169,PMC - Número-índice (2022=100),200002,fevereiro 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,26.02348,11,Rondônia,7169,PMC - Número-índice (2022=100),200002,fevereiro 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.06025,11,Rondônia,7169,PMC - Número-índice (2022=100),200003,março 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,26.26821,11,Rondônia,7169,PMC - Número-índice (2022=100),200003,março 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.27343,11,Rondônia,7169,PMC - Número-índice (2022=100),200004,abril 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,26.83926,11,Rondônia,7169,PMC - Número-índice (2022=100),200004,abril 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.27343,11,Rondônia,7169,PMC - Número-índice (2022=100),200005,maio 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,26.75768,11,Rondônia,7169,PMC - Número-índice (2022=100),200005,maio 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,8.95366,11,Rondônia,7169,PMC - Número-índice (2022=100),200006,junho 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,25.9419,11,Rondônia,7169,PMC - Número-índice (2022=100),200006,junho 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.48661,11,Rondônia,7169,PMC - Número-índice (2022=100),200007,julho 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,27.24715,11,Rondônia,7169,PMC - Número-índice (2022=100),200007,julho 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.6465,11,Rondônia,7169,PMC - Número-índice (2022=100),200008,agosto 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,27.16558,11,Rondônia,7169,PMC - Número-índice (2022=100),200008,agosto 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.32673,11,Rondônia,7169,PMC - Número-índice (2022=100),200009,setembro 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,26.26821,11,Rondônia,7169,PMC - Número-índice (2022=100),200009,setembro 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.22014,11,Rondônia,7169,PMC - Número-índice (2022=100),200010,outubro 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,25.9419,11,Rondônia,7169,PMC - Número-índice (2022=100),200010,outubro 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,9.96627,11,Rondônia,7169,PMC - Número-índice (2022=100),200011,novembro 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,27.8182,11,Rondônia,7169,PMC - Número-índice (2022=100),200011,novembro 2000,56734,Índice de volume de vendas no comércio varejista,2026-05-13
3,Unidade da Federação,30,Número-índice,15.93538,11,Rondônia,7169,PMC - Número-índice (2022=100),200012,dezembro 2000,56733,Índice de receita nominal de vendas no comércio varejista,2026-05-13
