nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,trimestre_codigo,trimestre,downloaded_at
3,Unidade da Federação,2,%,48.2,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201504,4º trimestre 2015,2026-05-27
3,Unidade da Federação,2,%,46.7,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201601,1º trimestre 2016,2026-05-27
3,Unidade da Federação,2,%,50.6,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201602,2º trimestre 2016,2026-05-27
3,Unidade da Federação,2,%,48.4,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201603,3º trimestre 2016,2026-05-27
3,Unidade da Federação,2,%,49.3,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201604,4º trimestre 2016,2026-05-27
3,Unidade da Federação,2,%,49.7,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201701,1º trimestre 2017,2026-05-27
3,Unidade da Federação,2,%,50.8,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201702,2º trimestre 2017,2026-05-27
3,Unidade da Federação,2,%,49.7,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201703,3º trimestre 2017,2026-05-27
3,Unidade da Federação,2,%,48.8,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201704,4º trimestre 2017,2026-05-27
3,Unidade da Federação,2,%,48.2,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201801,1º trimestre 2018,2026-05-27
3,Unidade da Federação,2,%,48.6,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201802,2º trimestre 2018,2026-05-27
3,Unidade da Federação,2,%,51,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201803,3º trimestre 2018,2026-05-27
3,Unidade da Federação,2,%,49.3,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201804,4º trimestre 2018,2026-05-27
3,Unidade da Federação,2,%,51.2,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201901,1º trimestre 2019,2026-05-27
3,Unidade da Federação,2,%,51.2,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201902,2º trimestre 2019,2026-05-27
3,Unidade da Federação,2,%,49.6,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201903,3º trimestre 2019,2026-05-27
3,Unidade da Federação,2,%,47.3,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201904,4º trimestre 2019,2026-05-27
3,Unidade da Federação,2,%,47.8,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202001,1º trimestre 2020,2026-05-27
3,Unidade da Federação,2,%,46.2,11,Rondônia,12466,Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,202002,2º trimestre 2020,2026-05-27
