nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,ano_codigo,ano,variavel_codigo,variavel,downloaded_at
3,Unidade da Federação,45,Pessoas,1453756,11,Rondônia,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,655385,12,Acre,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,3221939,13,Amazonas,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,395725,14,Roraima,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,7065573,15,Pará,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,587311,16,Amapá,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,1243627,17,Tocantins,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,6118995,21,Maranhão,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,3032421,22,Piauí,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,8185286,23,Ceará,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,3013740,24,Rio Grande do Norte,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,3641395,25,Paraíba,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,8485386,26,Pernambuco,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,3037103,27,Alagoas,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,1939426,28,Sergipe,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,14080654,29,Bahia,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,19273506,31,Minas Gerais,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,3351669,32,Espírito Santo,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,15420375,33,Rio de Janeiro,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,39827570,35,São Paulo,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,10284503,41,Paraná,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,5866252,42,Santa Catarina,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,10582840,43,Rio Grande do Sul,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,2265274,50,Mato Grosso do Sul,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,2854642,51,Mato Grosso,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,5647035,52,Goiás,2007,2007,93,População residente,2026-06-03
3,Unidade da Federação,45,Pessoas,2455903,53,Distrito Federal,2007,2007,93,População residente,2026-06-03
