source_name,table_id,variable_code,condition_code,series_name,description,api,raw_output_path,raw_rows,status,downloaded_at
population_14_plus,6463,1641,32385,pnadc_population,Pessoas de 14 anos ou mais de idade - Total,/t/6463/n3/all/v/1641/p/all/c629/32385,C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/ibge/pnadc_sidra_population_14_plus_quarterly.csv,1539,downloaded,2026-05-27
unemployment_rate,6468,4099,,unemployment_rate_pnadc,Taxa de desocupacao das pessoas de 14 anos ou mais,/t/6468/n3/all/v/4099/p/all,C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/ibge/pnadc_sidra_unemployment_rate_quarterly.csv,1539,downloaded,2026-05-27
labor_income_real,6469,5935,,labor_income_real_pnadc,Rendimento medio mensal real efetivamente recebido em todos os trabalhos,/t/6469/n3/all/v/5935/p/all,C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/ibge/pnadc_sidra_labor_income_real_quarterly.csv,1539,downloaded,2026-05-27
informality_rate,8529,12466,,informality_rate_pnadc,Taxa de informalidade das pessoas ocupadas de 14 anos ou mais,/t/8529/n3/all/v/12466/p/all,C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/ibge/pnadc_sidra_informality_rate_quarterly.csv,1134,downloaded,2026-05-27
