nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,trimestre_codigo,trimestre,condicao_em_relacao_a_forca_de_trabalho_e_condicao_de_ocupacao_codigo,condicao_em_relacao_a_forca_de_trabalho_e_condicao_de_ocupacao,downloaded_at
3,Unidade da Federação,1572,Mil pessoas,1196,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201201,1º trimestre 2012,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1202,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201202,2º trimestre 2012,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1210,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201203,3º trimestre 2012,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1202,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201204,4º trimestre 2012,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1215,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201301,1º trimestre 2013,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1223,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201302,2º trimestre 2013,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1224,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201303,3º trimestre 2013,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1238,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201304,4º trimestre 2013,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1252,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201401,1º trimestre 2014,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1253,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201402,2º trimestre 2014,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1268,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201403,3º trimestre 2014,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1267,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201404,4º trimestre 2014,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1261,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201501,1º trimestre 2015,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1257,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201502,2º trimestre 2015,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1258,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201503,3º trimestre 2015,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1247,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201504,4º trimestre 2015,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1254,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201601,1º trimestre 2016,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1257,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201602,2º trimestre 2016,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1256,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201603,3º trimestre 2016,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1267,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201604,4º trimestre 2016,32385,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1275,11,Rondônia,1641,Pessoas de 14 anos ou mais de idade,201701,1º trimestre 2017,32385,Total,2026-05-27
