nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,ano_codigo,ano,condicao_de_ocupacao_codigo,condicao_de_ocupacao,sexo_codigo,sexo,grupo_de_idade_codigo,grupo_de_idade,downloaded_at
3,Unidade da Federação,1572,Mil pessoas,37,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2001,2001,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,31,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2002,2002,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,45,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2003,2003,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,35,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2004,2004,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,45,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2005,2005,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,47,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2006,2006,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,53,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2007,2007,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,52,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2008,2008,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,61,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2009,2009,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,27,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2011,2011,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,43,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2012,2012,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,40,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2013,2013,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,40,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2014,2014,98626,Desocupadas,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,59,11,Rondônia,777,Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência,2015,2015,98626,Desocupadas,0,Total,0,Total,2026-05-27
