nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,ano_codigo,ano,variavel_codigo,variavel,downloaded_at
3,Unidade da Federação,45,Pessoas,3590985,13,Amazonas,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3807921,13,Amazonas,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3873743,13,Amazonas,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,3938336,13,Amazonas,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4001667,13,Amazonas,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4063614,13,Amazonas,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4080611,13,Amazonas,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4144597,13,Amazonas,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4207714,13,Amazonas,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4269995,13,Amazonas,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4281209,13,Amazonas,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,4321616,13,Amazonas,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,337237,14,Roraima,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,346871,14,Roraima,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,357302,14,Roraima,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,381896,14,Roraima,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,391317,14,Roraima,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,403344,14,Roraima,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,412783,14,Roraima,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,421499,14,Roraima,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,460165,14,Roraima,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,469524,14,Roraima,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,488072,14,Roraima,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,496936,14,Roraima,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,505665,14,Roraima,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,514229,14,Roraima,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,522636,14,Roraima,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,576568,14,Roraima,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,605761,14,Roraima,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,631181,14,Roraima,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,652713,14,Roraima,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,716793,14,Roraima,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,738772,14,Roraima,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6341736,15,Pará,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6453683,15,Pará,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6574993,15,Pará,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6850181,15,Pará,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,6970586,15,Pará,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7110465,15,Pará,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7321490,15,Pará,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7431020,15,Pará,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7688593,15,Pará,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7777543,15,Pará,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,7969654,15,Pará,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8073924,15,Pará,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8175113,15,Pará,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8272724,15,Pará,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8366628,15,Pará,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8513497,15,Pará,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8602865,15,Pará,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8690745,15,Pará,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8777124,15,Pará,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8664306,15,Pará,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,8711196,15,Pará,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,498735,16,Amapá,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,516511,16,Amapá,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,534835,16,Amapá,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,547400,16,Amapá,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,594587,16,Amapá,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,615715,16,Amapá,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,613166,16,Amapá,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,626609,16,Amapá,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,684309,16,Amapá,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,698602,16,Amapá,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,734996,16,Amapá,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,750912,16,Amapá,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,766679,16,Amapá,2015,2015,9324,População residente estimada,2026-06-03
