donor_state,scm_weight,outcome
AC,0.908092051861394,Retail volume
MT,0.045845769614218,Retail volume
AP,0.02027641781928063,Retail volume
ES,0.01821949006218026,Retail volume
DF,0.00756627063779093,Retail volume
MT,0.4796328693902891,Services volume
AP,0.4158992550003305,Services volume
AC,0.10446787559555816,Services volume
BA,7.836198042293885e-12,Services volume
PI,2.6155258080184165e-12,Services volume
AC,0.735822643187711,Formal hiring
MT,0.2641773568045536,Formal hiring
CE,5.129327240458971e-12,Formal hiring
SP,2.5716269852156675e-12,Formal hiring
RO,2.3902657074650844e-14,Formal hiring
AC,0.8665777732973495,Construction
MG,0.09835622109535258,Construction
AP,0.03506600557915831,Construction
PI,1.0326915057534427e-11,Construction
RN,5.157822977138417e-12,Construction
AC,0.8929330950064082,ICMS
RO,0.09568710077688455,ICMS
DF,0.01137980421396745,ICMS
GO,1.9185114343622104e-12,ICMS
PE,5.930996196286771e-13,ICMS
AC,0.921331499192606,Tax revenue
RO,0.076110804888825,Tax revenue
DF,0.00255769590839271,Tax revenue
SP,5.660255148689396e-12,Tax revenue
RN,1.976114796267115e-12,Tax revenue
AC,0.8945636829767092,Total expenditure
MT,0.0696323001223859,Total expenditure
DF,0.03580401689147712,Total expenditure
RS,3.5286555531123554e-12,Total expenditure
GO,1.9701845223597992e-12,Total expenditure
