Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,77.63,77.76,4.17,36
Services volume,83.23,83.37,4.36,36
Formal hiring,5.51,-0.02,26.80,36
Construction,3.48,2.05,15.72,36
ICMS,5.67,5.68,0.26,23
Tax revenue,5.96,5.96,0.13,23
Total expenditure,7.38,7.40,0.26,23
