Outcome,Gap post,LOO rank,p (2-sided)
Retail volume,8.42,22 / 23,0.087
Services volume,2.41,3 / 23,0.13
Formal hiring,26.46,23 / 23,0.043
Construction,7.81,4 / 23,0.174
ICMS,68.25,21 / 22,0.091
Tax revenue,-22.6,22 / 23,0.087
Public investment,-4.22,23 / 23,0.043
Total expenditure,-331.85,1 / 23,0.043
