period_date,period,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-01-01,2016Q1,pre,3286,3360.6813708857785,-74.66388149015498,1e-4,1.8295235083062736e-4,3286.0174893956237,-74.6813708857785,-0.017489395623670134,labor_income_real_pnadc
2016-04-01,2016Q2,pre,3116,3103.36280685786,13.148778620381137,1e-4,2.512893790408334e-4,3116.511585478241,12.63719314213995,-0.5115854782411589,labor_income_real_pnadc
2016-07-01,2016Q3,pre,3302,3119.8931987018796,180.6055736359946,1e-4,6.440017233414199e-4,3300.498772337874,182.10680129812044,1.5012276621259844,labor_income_real_pnadc
2016-10-01,2016Q4,pre,3189,3157.0978502778557,32.270098445211765,1e-4,2.587383354754294e-4,3189.3679487230675,31.90214972214426,-0.36794872306745674,labor_income_real_pnadc
2017-01-01,2017Q1,pre,3399,3369.6854117645075,28.91544620364564,1e-4,3.2688441689252625e-4,3398.6008579681534,29.314588235492465,0.39914203184662256,labor_income_real_pnadc
2017-04-01,2017Q2,pre,3052,3113.6626558339685,-60.51802232031814,1e-4,6.570925390011094e-4,3053.14463351365,-61.66265583396853,-1.1446335136502057,labor_income_real_pnadc
2017-07-01,2017Q3,pre,3213,3167.7291748387197,44.684654397668474,1e-4,4.398975400856152e-4,3212.413829236388,45.2708251612803,0.5861707636117899,labor_income_real_pnadc
2017-10-01,2017Q4,pre,3165,3227.2551893324376,-62.38604500112021,1e-4,1.6946566455180182e-4,3164.8691443313173,-62.25518933243757,0.1308556686826705,labor_income_real_pnadc
2018-01-01,2018Q1,pre,3443,3502.4860467043973,-59.196765925890965,1e-4,3.240137260720271e-4,3443.2892807785065,-59.48604670439727,-0.2892807785065088,labor_income_real_pnadc
2018-04-01,2018Q2,pre,3147,3202.7158395632023,-55.26806833315909,1e-4,2.51647415612982e-4,3147.447771230043,-55.71583956320228,-0.4477712300431449,labor_income_real_pnadc
2018-07-01,2018Q3,pre,3292,3272.195144490159,19.6430102320645,1e-4,1.6536307321308723e-4,3291.8381547222234,19.804855509841218,0.1618452777765924,labor_income_real_pnadc
2019-01-01,2019Q1,post,3315,3475.6591693375613,-18.43623856172763,0.45815976690544913,0.2045169593585743,3457.2229307758334,-160.65916933756125,-142.22293077583345,labor_income_real_pnadc
2019-04-01,2019Q2,post,3236,3179.3831789031906,1.7791905458526902,0.039194067748472214,0.08575848487621794,3181.162369449043,56.61682109680942,54.837630550956874,labor_income_real_pnadc
2019-07-01,2019Q3,post,3378,3225.1557481250275,2.0040309775509306,0.055688139909452726,0.1116775815093321,3227.1597791025783,152.84425187497254,150.84022089742166,labor_income_real_pnadc
2019-10-01,2019Q4,post,3117,3286.6396610197085,-11.675014917444715,0.15973122800602557,0.16667507926246314,3274.964646102264,-169.63966101970846,-157.96464610226394,labor_income_real_pnadc
2020-01-01,2020Q1,post,3361,3442.06520171716,-28.147000415852112,0.055688139909452726,0.1805403889004669,3413.918201301308,-81.06520171716011,-52.91820130130782,labor_income_real_pnadc
2020-04-01,2020Q2,post,3245,3098.388657514099,-28.48106934590648,0.039194067748472214,0.23801316711541853,3069.9075881681924,146.61134248590088,175.09241183180757,labor_income_real_pnadc
2020-07-01,2020Q3,post,3339,3114.7760489506622,0.334214327999842,10.811807510766078,0.20645933358931712,3115.110263278662,224.22395104933776,223.88973672133807,labor_income_real_pnadc
2020-10-01,2020Q4,post,3301,3226.221185556805,0.7762983145769622,3.7693909753883634,0.24100227057085274,3226.997483871382,74.77881444319519,74.00251612861803,labor_income_real_pnadc
