outcome,year,quarters,scm_mean_gap,augmented_mean_gap
formalization_rate_pnadc,2019,4,-0.02901691163353048,-0.02289265542656623
formalization_rate_pnadc,2020,4,-0.04024791575648862,-0.04258090667391601
labor_income_real_pnadc,2019,4,-30.209439346371937,-23.627431357429714
labor_income_real_pnadc,2020,4,91.13722656531843,105.01661584511396
labor_income_real_pnadc_ma2_post_clean,2019,4,-57.071724375292774,-34.08076503528174
labor_income_real_pnadc_ma2_post_clean,2020,4,46.03953874546312,85.86644028595003
labor_income_real_pnadc_ma4_post_clean,2019,4,-119.18233206532523,-130.4371666508424
labor_income_real_pnadc_ma4_post_clean,2020,4,-22.07643989770247,6.501180274865305
unemployment_rate_pnadc,2019,4,0.050141775842106204,0.04762675045282833
unemployment_rate_pnadc,2020,4,0.04854988703383324,0.04807858342029474
