window,months,mean_balance,median_balance,sd_balance,min_balance,max_balance
Novo Caged ajustado: 2020-01 a 2021-12,24,345.6666666666667,411.5,550.1429590227606,-1404,1181
Novo Caged ajustado: 2022-01 a 2023-12,24,519.4166666666666,638,638.1308927108012,-1487,1293
Old Caged consolidado: 2018-01 a 2019-12,24,85.08333333333333,116.5,285.22194510769066,-358,628
