window,months,mean_balance,median_balance,sd_balance,min_balance,max_balance
Novo Caged ajustado: 2020-01 a 2021-12,24,2543.625,3787.5,3632.6096717337955,-6924,7556
Novo Caged ajustado: 2022-01 a 2023-12,24,2578.5833333333335,2572.5,2859.633572097423,-5301,7050
Old Caged consolidado: 2018-01 a 2019-12,24,704,840.5,2084.8622934401915,-3421,6681
