period_date,event_time,plot_time,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-04-01,-32,-32,pre,97.93241494874044,97.70925389055735,0.12199354831349127,1e-4,0.07587724508217795,97.83124743887085,0.22316105818309495,0.10116750986959744,services_volume_index_ma6_v5
2016-05-01,-31,-31,pre,96.80084592302988,97.12674483028725,-0.06613856370408254,0.007847599703514606,0.06348130001208731,97.06060626658316,-0.32589890725736836,-0.2597603435532818,services_volume_index_ma6_v5
2016-06-01,-30,-30,pre,95.55243405562024,96.23084944875063,-0.8776646815026373,0.007847599703514606,0.09177233046830102,95.353184767248,-0.6784153931303933,0.19924928837224343,services_volume_index_ma6_v5
2016-07-01,-29,-29,pre,95.4465722409067,96.08935722639742,-0.5487735006579576,1e-4,0.06741427248595018,95.54058372573947,-0.6427849854907208,-0.09401148483276245,services_volume_index_ma6_v5
2016-08-01,-28,-28,pre,96.2490122611765,96.62995697182211,-0.438841468923382,1e-4,0.10703945641385045,96.19111550289873,-0.38094471064560764,0.05789675827777785,services_volume_index_ma6_v5
2016-09-01,-27,-27,pre,95.91314534472318,95.35732228102262,0.489648697229792,1e-4,0.07840816317171592,95.84697097825241,0.5558230637005579,0.06617436647076147,services_volume_index_ma6_v5
2016-10-01,-26,-26,pre,95.74154559142394,94.81493909822778,1.0695998593606197,0.06951927961775606,0.08462033190338354,95.8845389575884,0.9266064931961608,-0.14299336616446112,services_volume_index_ma6_v5
2016-11-01,-25,-25,pre,95.6709912876114,94.23985489511739,1.6613620865141794,1e-4,0.09204220798355311,95.90121698163156,1.431136392494011,-0.23022569402016302,services_volume_index_ma6_v5
2016-12-01,-24,-24,pre,95.5498338970106,93.45313731133633,1.8309162353188486,1e-4,0.09845495144346798,95.28405354665519,2.096696585674266,0.2657803503554135,services_volume_index_ma6_v5
2017-01-01,-23,-23,pre,92.6267716616428,91.92569839223125,0.7564740417641913,2.9763514416313193e-4,0.10615456523515349,92.68217243399545,0.7010732694115518,-0.05540077235264107,services_volume_index_ma6_v5
2017-02-01,-22,-22,pre,89.5431960635313,89.9773408854751,-0.3741130954336476,0.06951927961775606,0.09272807062463448,89.60322779004146,-0.43414482194380355,-0.060031726510160865,services_volume_index_ma6_v5
