period_date,event_time,plot_time,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-04-01,-32,-32,pre,-15.787082649151614,-102.70111985100084,88.30166246002926,0.0026366508987303583,0.1545618911888571,-14.399457390971577,86.91403720184923,-1.3876252581800372,formal_hiring_balance_per_100k_wap_ma6_v5
2016-05-01,-31,-31,pre,-22.00136836343733,-89.78702303912013,61.20669213568665,0.2069138081114788,0.1645609727685609,-28.580330903433477,67.78565467568279,6.578962539996148,formal_hiring_balance_per_100k_wap_ma6_v5
2016-06-01,-30,-30,pre,-13.604542966611932,-41.35892373686302,33.04471403376892,1e-4,0.11428214036154545,-8.3142097030941,27.75438077025109,-5.290333263517832,formal_hiring_balance_per_100k_wap_ma6_v5
2016-07-01,-29,-29,pre,-13.806906573540862,-38.215895338425725,9.593552207196534,0.023357214690901212,0.13915116442239917,-28.62234313122919,24.40898876488486,14.815436557688328,formal_hiring_balance_per_100k_wap_ma6_v5
2016-08-01,-28,-28,pre,-6.874064309227011,-29.15947494289868,23.616460592513597,0.615848211066026,0.161150038580841,-5.543014350385082,22.285410633671667,-1.3310499588419287,formal_hiring_balance_per_100k_wap_ma6_v5
2016-09-01,-27,-27,pre,-1.213279678068412,-11.654552331383728,15.809841529877042,0.2069138081114788,0.14379857796364637,4.155289198493314,10.441272653315316,-5.368568876561726,formal_hiring_balance_per_100k_wap_ma6_v5
2016-10-01,-26,-26,pre,-7.748993963782698,-5.20957732475097,-9.67045690233143,0.06951927961775606,0.1276430296632796,-14.880034227082401,-2.539416639031728,7.131040263299703,formal_hiring_balance_per_100k_wap_ma6_v5
2016-11-01,-25,-25,pre,-6.766189730978465,-17.010005237413747,11.78455489626651,1e-4,0.10281834700114582,-5.225450341147237,10.243815506435283,-1.540739389831228,formal_hiring_balance_per_100k_wap_ma6_v5
2016-12-01,-24,-24,pre,-18.4037558685446,-49.606750390811385,33.92327777265644,0.007847599703514606,0.09249516102979272,-15.683472618154944,31.202994522266785,-2.720283250389656,formal_hiring_balance_per_100k_wap_ma6_v5
2017-01-01,-23,-23,pre,-2.429769876087125,-43.60662529666828,35.45496134152778,0.2069138081114788,0.14679018986514974,-8.1516639551405,41.17685542058115,5.721894079053374,formal_hiring_balance_per_100k_wap_ma6_v5
2017-02-01,-22,-22,pre,2.0806075066061207,-34.81392228858032,39.897156535973615,1e-4,0.17183268230839574,5.0832342473932925,36.89452979518644,-3.002626740787172,formal_hiring_balance_per_100k_wap_ma6_v5
2017-03-01,-21,-21,pre,-18.0327868852459,-49.82389906730157,30.161953803619664,1e-4,0.12640321842663552,-19.661945263681904,31.791112182055667,1.6291583784360029,formal_hiring_balance_per_100k_wap_ma6_v5
2017-04-01,-20,-20,pre,2.6313820520837985,-48.832677068667294,48.26963430575111,0.023357214690901212,0.10228179955710161,-0.5630427629161829,51.464059120751095,3.1944248149999814,formal_hiring_balance_per_100k_wap_ma6_v5
2017-05-01,-19,-19,pre,15.821537466353654,-29.347198566721154,43.927508849213694,1e-4,0.1156060248827327,14.58031028249254,45.16873603307481,1.2412271838611133,formal_hiring_balance_per_100k_wap_ma6_v5
2017-06-01,-18,-18,pre,39.55122764699751,11.168633686410303,16.908133766139674,1e-4,0.1022844903842365,28.076767452549976,28.382593960587208,11.474460194447534,formal_hiring_balance_per_100k_wap_ma6_v5
2017-07-01,-17,-17,pre,28.48194159330305,4.692526558011686,37.599073018292636,1e-4,0.13226341505017494,42.29159957630432,23.789415035291363,-13.809657983001273,formal_hiring_balance_per_100k_wap_ma6_v5
2017-08-01,-16,-16,pre,39.80910758680903,1.6802599386172925,38.29157352094863,1e-4,0.13682527467961988,39.97183345956592,38.12884764819174,-0.16272587275689432,formal_hiring_balance_per_100k_wap_ma6_v5
2017-09-01,-15,-15,pre,67.95539134383762,25.726138814625966,33.51717972481841,0.023357214690901212,0.11843831739612656,59.243318539444374,42.22925252921165,8.712072804393244,formal_hiring_balance_per_100k_wap_ma6_v5
2017-10-01,-14,-14,pre,59.04257742005805,33.46971603583189,28.159866381446626,0.2069138081114788,0.16149234321272107,61.62958241727851,25.572861384226165,-2.587004997220461,formal_hiring_balance_per_100k_wap_ma6_v5
2017-11-01,-13,-13,pre,53.37613474291557,30.042634920763373,31.762307268458496,0.0026366508987303583,0.14039204323741764,61.80494218922187,23.333499822152195,-8.428807446306301,formal_hiring_balance_per_100k_wap_ma6_v5
2017-12-01,-12,-12,pre,41.98835964808924,-2.065174822453092,34.213499025411835,1e-4,0.09527191454714246,32.14832420295874,44.05353447054233,9.840035445130496,formal_hiring_balance_per_100k_wap_ma6_v5
2018-01-01,-11,-11,pre,45.33350875988504,6.08255097150483,35.20659516536256,0.2069138081114788,0.17574686423612113,41.28914613686739,39.25095778838021,4.044362623017655,formal_hiring_balance_per_100k_wap_ma6_v5
2018-02-01,-10,-10,pre,24.39473684007067,7.801994701119828,15.804068135199588,1e-4,0.07856156672951613,23.606062836319417,16.592742138950843,0.7886740037512538,formal_hiring_balance_per_100k_wap_ma6_v5
2018-03-01,-9,-9,pre,0.07717531243553945,-4.011809417050124,3.219860563632398,1e-4,0.11688930197673911,-0.7919488534177259,4.088984729485663,0.8691241658532654,formal_hiring_balance_per_100k_wap_ma6_v5
2018-04-01,-8,-8,pre,2.6277683508334557,0.8043365775317497,2.490267318439676,1e-4,0.09972627371358415,3.294603895971426,1.823431773301706,-0.6668355451379702,formal_hiring_balance_per_100k_wap_ma6_v5
2018-05-01,-7,-7,pre,-19.3289650693146,-5.781624531770394,-14.417701214233666,1e-4,0.09339071393341777,-20.19932574600406,-13.547340537544205,0.8703606766894616,formal_hiring_balance_per_100k_wap_ma6_v5
