Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.68,4.68,0.01,31
Emprego formal 6m (per 1k),1.85,1.82,0.53,31
ICMS CONFAZ 6m pc (log),6.94,6.94,0.01,31
