Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),-0.002,1 / 23,0.043
Emprego formal 6m (per 1k),0.323,3 / 23,0.13
ICMS CONFAZ 6m pc (log),0.031,22 / 23,0.087
