outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,5.466748392622679,22,4,23,0.17391304347826086
formal_hiring_6m_per1k,1.4912044301006717,22,20,23,0.8695652173913043
icms_conf6m_pc_log,7.225456168004897,22,4,23,0.17391304347826086
