Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),0.03,0.02,0.01,0.00
Emprego formal 6m (per 1k),-0.67,-0.48,0.26,0.32
ICMS CONFAZ 6m pc (log),0.05,0.02,0.05,0.03
