Outcome,Rank,p (classico)
Varejo MA6 (log),4 / 23,0.173913043478261
Emprego formal 6m (per 1k),20 / 23,0.869565217391304
ICMS CONFAZ 6m pc (log),4 / 23,0.173913043478261
