state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
AC,2007-02-01,2007,2,42.5499643546523,,-2.1182325726788,-7.49619580441575,3.9357150847565063,4.2405951851007,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-36,28891597,-50,655385,,,44.08339678204414,,,
AC,2007-03-01,2007,3,41.8461016215218,,49.8771421961109,4.48755451317449,3.98369648236677,4.24267407790368,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-35,30423793,287,655385,,,46.421253156541574,,,
AC,2007-04-01,2007,4,41.0753440473832,,9.9794197354189,-27.6302805912146,4.135718520488077,4.22819655492777,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-34,35507502,397,655385,,,54.178081585632874,,,
AC,2007-05-01,2007,5,41.9928974103063,,-26.3860195512327,-17.6059287801492,3.9262315258312506,4.17495339814241,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-33,28877193,1,655385,,,44.06141886066968,,,
AC,2007-06-01,2007,6,42.0267554972099,,-2.02476977131063,-29.0959154128413,3.9735867021815423,4.24217505750943,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-32,30362312,454,655385,,,46.32744417403511,,,
AC,2007-07-01,2007,7,41.9949400794975,,-28.2092700648071,-26.466028555903,4.058062388118673,4.30330209400703,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-31,33117976,8,655385,41.914333835095164,3.735627864729481,50.53209334971048,285.60368790863384,5.654605143227416,1.6738253087879644
AC,2007-08-01,2007,8,41.8560694471492,,-48.4410709376844,-21.8284940553624,4.063827594248889,4.28624129183839,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-30,33466061,-53,655385,41.79868468384465,3.7328648721419486,51.06320864835173,292.58349977494146,5.678750095249338,1.669247846685536
AC,2007-09-01,2007,9,41.7847056771433,,-3.14429648068039,-12.9885301437995,4.004626664907931,4.21294349125259,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-29,31599131,203,655385,41.78845202644823,3.7326200340520166,48.21460820738955,294.37685482578945,5.684860765645233,1.5410789078175424
AC,2007-10-01,2007,10,40.4797728840828,,-14.4973370336425,2.31097646486606,4.142268450992059,4.23746391673578,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-28,36370829,-229,655385,41.68919016589817,3.7302418665636696,55.49536379380059,295.69413703395713,5.689325599248802,0.585915149110828
AC,2007-11-01,2007,11,42.5239455932107,,18.6830836392081,42.7091253052206,4.117656062764797,4.33825867875419,FALSE,TRUE,FALSE,pre,TRUE,2009-11-27,2010-02-11,,-27,35621367,-148,655385,41.77769819638223,3.732362661178031,54.35181915973054,305.984537333018,5.723534569084173,0.35856786469022023
