state_abbrev,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.6731940242701395,103.32320907282774,0.766275233449995,1.714849343911987,132.1239990015384,2.932085279621792e-6,TRUE,FALSE,
AL,7.248250238445994,17.260391644098036,3.240794196800626,2.8760841717539285,33.6183726933949,0,TRUE,FALSE,
AM,29.05054089969974,46.137626969090014,2.790334443338717,11.973760863106245,21.834723058630978,7.58448887458803e-4,TRUE,FALSE,
AP,3.4613391084811784,19.671651106925985,0.9048735341267669,12.121167483404756,150.46601662006017,0.03052875505513886,TRUE,FALSE,
BA,13.095757359365887,18.431611513234937,4.776284899865026,13.059269420635324,16.353050488628245,9.297343266497384e-7,TRUE,FALSE,
CE,10.115365369085024,17.692722487864454,4.6382755367572805,7.765938474161933,22.229612624536365,1.1988599654269004e-4,TRUE,FALSE,
DF,21.587130728243565,58.37789060309239,9.521233097848008,25.925611396960047,7.273151343712216,0,FALSE,TRUE,treated_unit
ES,39.61726444694211,52.59278500332451,10.934395729624764,16.836671529070752,10.947259158872477,4.018203487777032e-6,TRUE,FALSE,
GO,17.125475057255215,28.21172927271211,7.64029657702251,17.245711077185973,12.536868519493966,1.5440581303724938e-5,TRUE,FALSE,
MA,3.5605062171438333,8.639720019668362,1.8795743833264804,5.691648321945797,28.978971017556592,6.86150326589338e-5,FALSE,TRUE,coded_removal_in_scm_window:MA_2009_01
MG,24.225621396934372,23.77927722194732,9.623326000037142,15.999522441239645,5.660614598733886,2.761550542486763e-5,TRUE,FALSE,
MS,4.118724758094866,48.585217516691415,6.189512915366366,30.046965306994423,14.425477856267443,4.845324279662855e-6,TRUE,FALSE,
MT,12.724390179990928,45.49148170492644,9.558155961969184,22.31370489897462,20.372320989524063,0.0083015990983024,TRUE,FALSE,
PA,7.014360149990815,17.326994942680535,3.710518101202619,7.950956896426905,21.651545274953246,0.00596424532622766,TRUE,FALSE,
PB,7.556894717738878,20.76039206308212,3.4907675778896228,4.967913692240303,32.02985488155848,6.746733525252755e-6,FALSE,TRUE,coded_removal_in_scm_window:PB_2009_01
PE,7.632505553013398,26.1287202192105,4.973393107024373,8.293401513096738,19.95177251426255,7.623522152032727e-8,TRUE,FALSE,
PI,3.86298354190016,14.538249773302468,2.966779812591419,6.7999453254273305,34.892430110630144,2.4789276667742617e-6,TRUE,FALSE,
PR,14.639211358815505,29.6871367309291,10.767026257845126,18.772436184188248,6.8449628622624985,5.4211546816536875e-5,TRUE,FALSE,
RJ,24.05103923180819,38.50365643062726,13.14176305089195,12.082258251931584,2.4251318595758917,2.5013766368120195e-4,TRUE,FALSE,
RN,12.074217533030907,27.629827828229875,4.024346437750415,1.2552988181562543,34.12062980950369,1.7317649086737989e-6,TRUE,FALSE,
RO,4.4392955933537,43.76187181925977,2.2866895810436474,17.152172474086022,46.34696171677498,0.01021111466945502,TRUE,FALSE,
RR,4.009469947865708,25.38610597193391,3.22113612215356,13.396102166116512,166.25610726739666,0.004578164149218,TRUE,FALSE,
RS,29.611468296164887,33.9535274376684,10.182794082890434,20.140724585987996,5.325282176787231,1.2493286769263223e-6,TRUE,FALSE,
SC,23.90591841810875,38.360325706084275,11.358966122058764,20.36335348378873,5.383841524290219,1.169050317393448e-6,TRUE,FALSE,
SE,9.078155168501102,22.6521767403033,4.60743396765114,5.420289339309606,52.41178084138544,0,TRUE,FALSE,
SP,52.46745677147876,47.29648383356663,10.845513848757294,18.21428796108989,0.6110776620550832,8.839995381709858e-5,TRUE,FALSE,
TO,6.487037258475464,19.21639723315381,4.797406362028346,13.72631123245493,83.83931675427539,1.2222131269515728e-4,FALSE,TRUE,coded_removal_in_scm_window:TO_2009_01
