dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2015-02-01,-6,-6,pre,23.560337896232113
AC,2015-04-01,-5,-5,pre,27.580582883460067
AC,2015-06-01,-4,-4,pre,44.125736680847865
AC,2015-08-01,-3,-3,pre,14.417112236411015
AC,2015-10-01,-2,-2,pre,35.36769392786516
AC,2015-12-01,-1,-1,pre,-13.505077802008657
AC,2016-02-01,0,0,crisis,29.125531443267903
AC,2016-04-01,1,1,crisis,36.61144227022106
AC,2016-06-01,2,2,crisis,37.10060758697858
AC,2016-08-01,3,3,crisis,26.47008682573062
AC,2016-10-01,4,4,crisis,82.8805278692613
AC,2016-12-01,5,5,crisis,51.25970267747425
AC,2017-02-01,6,6,crisis,60.061223313471885
AC,2017-04-01,7,7,crisis,39.2149251600182
AC,2017-06-01,8,8,post,85.55892734197352
AC,2017-08-01,9,9,post,104.937712139793
AC,2017-10-01,10,10,post,109.86082272195091
AC,2017-12-01,11,11,post,77.73217591908383
AC,2018-02-01,12,12,post,110.75408129301832
AC,2018-04-01,13,13,post,112.95421015923074
AC,2018-06-01,14,14,post,106.03415539513742
AC,2018-08-01,15,15,post,73.45084012177739
AC,2018-10-01,16,16,post,93.48753137057702
AC,2018-12-01,17,17,post,100.14936706612662
AC,2019-02-01,18,18,post,109.78398156071734
AC,2019-04-01,19,19,post,71.77050599562921
AC,2019-06-01,20,20,post,95.13920331000486
AC,2019-08-01,21,21,post,92.81487237737628
AC,2019-10-01,22,22,post,120.13159885803691
AC,2019-12-01,23,23,post,144.3753589217734
AL,2015-02-01,-6,-6,pre,18.416142134974336
AL,2015-04-01,-5,-5,pre,28.932603211777746
AL,2015-06-01,-4,-4,pre,47.569819108688705
AL,2015-08-01,-3,-3,pre,14.091899504553453
AL,2015-10-01,-2,-2,pre,36.989759344832294
AL,2015-12-01,-1,-1,pre,-20.6003744209645
AL,2016-02-01,0,0,crisis,29.124277048671047
AL,2016-04-01,1,1,crisis,34.93915072116641
AL,2016-06-01,2,2,crisis,36.43605226628745
AL,2016-08-01,3,3,crisis,27.199793429422755
AL,2016-10-01,4,4,crisis,84.24627885013888
AL,2016-12-01,5,5,crisis,39.857933579374674
AL,2017-02-01,6,6,crisis,55.37633505122284
AL,2017-04-01,7,7,crisis,35.781049494724925
AL,2017-06-01,8,8,post,82.63865698089086
AL,2017-08-01,9,9,post,90.7810017056911
AL,2017-10-01,10,10,post,101.52951876877222
AL,2017-12-01,11,11,post,77.61530387537101
AL,2018-02-01,12,12,post,105.48643005701302
AL,2018-04-01,13,13,post,100.33775678081372
AL,2018-06-01,14,14,post,98.6885742963292
AL,2018-08-01,15,15,post,63.08430912206654
AL,2018-10-01,16,16,post,83.65643933169747
AL,2018-12-01,17,17,post,65.86381751879543
AL,2019-02-01,18,18,post,94.47582949014196
AL,2019-04-01,19,19,post,68.21903577746593
AL,2019-06-01,20,20,post,88.9642291396965
AL,2019-08-01,21,21,post,77.73676113424091
AL,2019-10-01,22,22,post,114.22035463515971
AL,2019-12-01,23,23,post,137.08761849758457
AP,2015-02-01,-6,-6,pre,17.97739924381318
AP,2015-04-01,-5,-5,pre,29.275876886475544
AP,2015-06-01,-4,-4,pre,48.344941429627966
AP,2015-08-01,-3,-3,pre,14.359841240546814
AP,2015-10-01,-2,-2,pre,37.399652777733934
AP,2015-12-01,-1,-1,pre,-20.855847380527223
AP,2016-02-01,0,0,crisis,30.098841296936314
AP,2016-04-01,1,1,crisis,35.633946209584394
AP,2016-06-01,2,2,crisis,37.34681485026607
AP,2016-08-01,3,3,crisis,28.243986122744047
AP,2016-10-01,4,4,crisis,85.40480475552539
AP,2016-12-01,5,5,crisis,39.51545869305255
AP,2017-02-01,6,6,crisis,55.94041575067445
AP,2017-04-01,7,7,crisis,36.101933495961816
AP,2017-06-01,8,8,post,83.05073675369044
AP,2017-08-01,9,9,post,90.89664806552531
AP,2017-10-01,10,10,post,101.87822263658836
AP,2017-12-01,11,11,post,77.27044236911331
AP,2018-02-01,12,12,post,105.64009515044074
