period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,omitted_donor
2016-01-01,pre,91.66461,90.66513889928756,0.9994711007124408,services_volume_index,RR,MG
2016-02-01,pre,85.24311,87.39749196193617,-2.154381961936167,services_volume_index,RR,MG
2016-03-01,pre,91.48964,92.76242095821713,-1.2727809582171403,services_volume_index,RR,MG
2016-04-01,pre,88.41424,88.65457094583806,-0.24033094583805337,services_volume_index,RR,MG
2016-05-01,pre,86.99124,88.90989888520045,-1.9186588852004434,services_volume_index,RR,MG
2016-06-01,pre,91.25815,89.74310249940896,1.515047500591038,services_volume_index,RR,MG
2016-07-01,pre,91.07182,88.33240521847526,2.7394147815247436,services_volume_index,RR,MG
2016-08-01,pre,89.7365,88.91820858045403,0.8182914195459716,services_volume_index,RR,MG
2016-09-01,pre,89.6089,88.23035600252265,1.378543997477351,services_volume_index,RR,MG
2016-10-01,pre,87.45334,87.54424874518844,-0.09090874518844316,services_volume_index,RR,MG
2016-11-01,pre,86.59616,87.75353435066305,-1.1573743506630478,services_volume_index,RR,MG
2016-12-01,pre,90.57971,90.07197474519059,0.5077352548094183,services_volume_index,RR,MG
2017-01-01,pre,74.70367,84.06985067615587,-9.366180676155864,services_volume_index,RR,MG
2017-02-01,pre,72.46953,79.87970653458167,-7.410176534581666,services_volume_index,RR,MG
2017-03-01,pre,74.38708,85.52759966015643,-11.140519660156428,services_volume_index,RR,MG
2017-04-01,pre,73.52525,81.38977119277928,-7.864521192779279,services_volume_index,RR,MG
2017-05-01,pre,72.24052,84.85460232974502,-12.614082329745017,services_volume_index,RR,MG
2017-06-01,pre,78.13524,84.63935223692742,-6.504112236927426,services_volume_index,RR,MG
2017-07-01,pre,75.5713,84.43588166069739,-8.864581660697397,services_volume_index,RR,MG
2017-08-01,pre,85.63098,85.34921284118823,0.2817671588117605,services_volume_index,RR,MG
2017-09-01,pre,83.59432,83.28785012944098,0.3064698705590132,services_volume_index,RR,MG
2017-10-01,pre,81.55076,84.91035983757412,-3.359599837574123,services_volume_index,RR,MG
2017-11-01,pre,82.96924,85.61132918446336,-2.6420891844633587,services_volume_index,RR,MG
2017-12-01,pre,103.46013,90.77093635192433,12.689193648075673,services_volume_index,RR,MG
2018-01-01,pre,67.52923,81.80266863063397,-14.273438630633976,services_volume_index,RR,MG
2018-02-01,pre,74.95567,77.91620655524025,-2.960536555240253,services_volume_index,RR,MG
2018-03-01,pre,83.87716,83.6140892720458,0.26307072795420083,services_volume_index,RR,MG
2018-04-01,pre,79.51326,83.65854706316264,-4.145287063162641,services_volume_index,RR,MG
2018-05-01,pre,78.77282,81.46912321007838,-2.6963032100783835,services_volume_index,RR,MG
2018-06-01,pre,85.0043,84.75084553726417,0.2534544627358315,services_volume_index,RR,MG
2018-07-01,pre,81.32377,83.9360644797741,-2.612294479774107,services_volume_index,RR,MG
2018-08-01,pre,86.05063,88.00551978318076,-1.9548897831807608,services_volume_index,RR,MG
