predictor,treated_value,synthetic_value,difference,used_in_scaled_fit
lag_2016_01,-84,-1237.6132852199642,1153.6132852199642,TRUE
lag_2016_02,-83,-609.30269681175,526.30269681175,TRUE
lag_2016_03,220,-1193.4580951354123,1413.4580951354123,TRUE
lag_2016_04,-64,20.55798029892044,-84.55798029892044,TRUE
lag_2016_05,-43,-93.87377532981023,50.87377532981023,TRUE
lag_2016_06,-232,-849.160849437051,617.160849437051,TRUE
lag_2016_07,-90,-254.48593657883015,164.48593657883015,TRUE
lag_2016_08,63,14.884294608731977,48.11570539126802,TRUE
lag_2016_09,345,344.694257560651,0.3057424393489896,TRUE
lag_2016_10,-207,-209.8077455989745,2.807745598974492,TRUE
lag_2016_11,-23,-1650.0188172784449,1627.0188172784449,TRUE
lag_2016_12,-490,-7189.218699393304,6699.218699393304,TRUE
lag_2017_01,258,22.828501929051956,235.17149807094805,TRUE
lag_2017_02,164,910.4666953556352,-746.4666953556352,TRUE
lag_2017_03,-86,-57.606807442746,-28.393192557253997,TRUE
lag_2017_04,244,484.97370109259265,-240.97370109259265,TRUE
lag_2017_05,267,-614.008008067651,881.008008067651,TRUE
lag_2017_06,23,244.81777341661325,-221.81777341661325,TRUE
lag_2017_07,15,-816.8250268939321,831.8250268939321,TRUE
lag_2017_08,415,-415.7609617893823,830.7609617893822,TRUE
lag_2017_09,535,367.3575857515637,167.6424142484363,TRUE
lag_2017_10,48,759.8301759117016,-711.8301759117016,TRUE
lag_2017_11,143,-1343.3842577299333,1486.3842577299333,TRUE
lag_2017_12,-229,-5527.637502946527,5298.637502946527,TRUE
lag_2018_01,92,711.400303159168,-619.400303159168,TRUE
lag_2018_02,-49,2041.386292902625,-2090.386292902625,TRUE
lag_2018_03,-2,-251.94519126452258,249.94519126452258,TRUE
lag_2018_04,109,1721.5508264639323,-1612.5508264639323,TRUE
lag_2018_05,-358,683.1973452603927,-1041.1973452603927,TRUE
lag_2018_06,-270,317.3541567014043,-587.3541567014042,TRUE
lag_2018_07,-115,1093.2885103938374,-1208.2885103938374,TRUE
lag_2018_08,135,1581.4632011011797,-1446.4632011011797,TRUE
lag_2018_09,625,-271.6630961162878,896.6630961162878,TRUE
lag_2018_10,145,921.8152280130229,-776.8152280130229,TRUE
lag_2018_11,224,801.5785885554343,-577.5785885554343,TRUE
mean_retail_volume_index,77.11465942857143,80.67415917828399,-3.5594997497125576,TRUE
mean_services_volume_index,82.88908942857142,89.85986984707952,-6.970780418508099,TRUE
mean_formalization_rate_pnadc,0.5626363636363636,0.5663546582618367,-0.0037182946254731286,TRUE
mean_unemployment_rate_pnadc,0.10127272727272728,0.10426180983983861,-0.002989082567111334,TRUE
